index,gx_raw_dps,gy_raw_dps,gz_raw_dps,ax_raw_g,ay_raw_g,az_raw_g,gx_25hz_dps,gy_25hz_dps,gz_25hz_dps,ax_25hz_g,ay_25hz_g,az_25hz_g,bad
497,0.9200000,0.7000000,-0.1800000,-0.0336000,0.0014000,1.3076000,0.0184767,0.0140584,-0.0036150,-0.0006748,0.0000281,0.0262610,1
498,-2.9700000,2.5900000,-1.0300000,0.0810000,0.0517000,0.8315000,0.0061482,0.1020780,-0.0335590,-0.0007762,0.0011384,0.1102153,1
499,-0.9600000,-0.1500000,-0.1800000,0.0512000,0.0488000,0.7709000,-0.1223511,0.2654069,-0.0986694,0.0028281,0.0048439,0.2303474,1
500,2.8100000,-0.8800000,0.5400000,-0.0712000,-0.0371000,1.1308000,-0.2367088,0.3771547,-0.1495725,0.0071658,0.0090846,0.3592638,1
501,0.7400000,1.8600000,-0.3000000,-0.0244000,-0.0175000,1.2719000,-0.1825865,0.4175220,-0.1581536,0.0070506,0.0102130,0.4995305,1
502,-4.6200000,2.8900000,-1.1600000,0.0747000,0.0458000,0.8676000,-0.1398348,0.5249483,-0.1754538,0.0055005,0.0095881,0.6405845,1
503,-1.9400000,0.3900000,-0.2400000,0.0346000,0.0302000,0.7373000,-0.3108529,0.7129449,-0.2298929,0.0072698,0.0105118,0.7547894,1
504,1.5900000,-1.0000000,0.6000000,-0.0854000,-0.0346000,1.1010000,-0.5343397,0.8298660,-0.2672261,0.0089954,0.0116977,0.8365511,1
505,0.1900000,1.8000000,-0.1200000,-0.0493000,-0.0063000,1.2680000,-0.6060288,0.8420034,-0.2528326,0.0056540,0.0106088,0.9062828,1
506,-3.5800000,2.2800000,-0.7300000,0.0644000,0.0268000,0.8793000,-0.6356566,0.8801535,-0.2307212,0.0006548,0.0086485,0.9689031,1
507,-1.8800000,-1.0000000,0.4200000,0.0546000,0.0400000,0.7548000,-0.7813317,0.9415622,-0.2213021,0.0000892,0.0084497,1.0071725,1
508,1.1100000,-1.6100000,1.0300000,-0.0756000,-0.0083000,1.0795000,-0.9371129,0.8785970,-0.1745882,0.0016874,0.0096217,1.0204642,1
509,1.2900000,1.1200000,-0.1200000,-0.0473000,-0.0092000,1.2529000,-0.9290060,0.7053750,-0.0832061,-0.0003131,0.0098856,1.0306928,1
510,-3.1000000,1.2500000,-1.3400000,0.0957000,0.0317000,0.8696000,-0.8373273,0.5753702,-0.0289597,-0.0030672,0.0093611,1.0439232,1
511,-1.8800000,-1.4900000,-1.0300000,0.0795000,0.0415000,0.8061000,-0.8476296,0.4885476,-0.0687615,-0.0000965,0.0101947,1.0448272,1
