index,gx_raw_dps,gy_raw_dps,gz_raw_dps,ax_raw_g,ay_raw_g,az_raw_g,gx_25hz_dps,gy_25hz_dps,gz_25hz_dps,ax_25hz_g,ay_25hz_g,az_25hz_g,bad
1842,0.0000000,-8.9600000,0.0200000,0.0058000,-0.0415000,1.1552000,0.0684488,-3.2124559,0.2302760,0.0256457,-0.0037616,0.9806853,0
1843,-5.8500000,-6.7000000,-0.2800000,-0.1230000,-0.0839000,1.2382000,0.0733841,-3.7432704,0.2645085,0.0271737,-0.0030686,0.9824696,0
1844,-2.1200000,-2.1800000,0.4500000,-0.0312000,0.0224000,0.9414000,-0.2068979,-4.2758452,0.2634072,0.0205201,-0.0061312,0.9965300,0
1845,2.5100000,-1.6300000,0.3800000,0.0927000,0.0917000,0.7260000,-0.5222683,-4.5287773,0.2616238,0.0127426,-0.0065464,1.0027537,0
1846,1.8900000,-7.7400000,-1.0100000,0.0239000,-0.0458000,1.1669000,-0.5863767,-4.5918821,0.2434796,0.0103077,-0.0030735,0.9976934,0
1847,-5.9100000,-6.3900000,-1.6800000,-0.0981000,-0.0839000,1.2475000,-0.5727553,-4.7354319,0.1456064,0.0087695,-0.0022823,1.0008049,0
1848,-2.4900000,-1.5700000,-0.8300000,-0.0351000,-0.0336000,0.9858000,-0.7674432,-4.8907257,-0.0332953,0.0029133,-0.0065561,1.0157438,0
1849,2.2600000,-1.0800000,-0.3400000,0.0922000,0.0590000,0.7221000,-1.0039747,-4.8105192,-0.2192662,-0.0026051,-0.0106201,1.0228792,0
1850,2.0800000,-5.8500000,-0.7000000,0.0976000,-0.0073000,0.9345000,-0.9924792,-4.5650317,-0.3653088,-0.0009764,-0.0108249,1.0128546,0
1851,-2.3100000,-5.5400000,-0.8300000,-0.0419000,-0.0903000,1.2983000,-0.8228346,-4.4087904,-0.4812412,0.0050771,-0.0110086,1.0031715,0
1852,-4.4400000,-2.0000000,-0.5200000,-0.1040000,-0.0708000,1.2055000,-0.7881135,-4.3345895,-0.5747749,0.0067401,-0.0154375,1.0114998,0
1853,0.5500000,2.5100000,0.2600000,0.0239000,0.0273000,0.8173000,-0.9162202,-4.0799742,-0.6209235,0.0027264,-0.0211470,1.0264933,0
1854,3.5400000,0.1300000,-0.0300000,0.1152000,0.0541000,0.6938000,-0.9207618,-3.5256552,-0.6012425,0.0011181,-0.0223488,1.0246202,0
1855,1.9600000,-4.0800000,-0.4600000,0.0234000,-0.0708000,1.1127000,-0.6571071,-2.9132230,-0.5455419,0.0055739,-0.0200248,1.0077362,0
1856,-3.1000000,-1.0800000,-0.4600000,-0.1074000,-0.0971000,1.3862000,-0.3476606,-2.4693689,-0.4943104,0.0090805,-0.0206330,1.0024197,0
1857,-1.6400000,3.9100000,0.1400000,-0.0576000,-0.0283000,1.0556000,-0.2393580,-2.0331236,-0.4466468,0.0055992,-0.0252561,1.0177079,0
1858,2.7500000,5.6800000,0.2600000,0.0747000,0.0615000,0.5947000,-0.2235722,-1.3405738,-0.3785903,-0.0000537,-0.0280438,1.0279402,0
1859,5.1900000,-0.7200000,-0.2800000,0.0874000,0.0141000,0.8149000,-0.0137331,-0.4965000,-0.2968970,-0.0000759,-0.0253938,1.0133778,0
