index,gx_raw_dps,gy_raw_dps,gz_raw_dps,ax_raw_g,ay_raw_g,az_raw_g,gx_25hz_dps,gy_25hz_dps,gz_25hz_dps,ax_25hz_g,ay_25hz_g,az_25hz_g,bad
585,1.4200000,2.9300000,0.4200000,0.0478000,0.0468000,1.0444000,0.0285184,0.0588443,0.0084350,0.0009600,0.0009399,0.0209751,27
586,-1.7400000,3.3000000,0.3000000,-0.0039000,0.0068000,1.0371000,0.0666094,0.2758206,0.0360622,0.0033402,0.0034836,0.0955211,27
587,-3.4500000,-5.1200000,-1.7100000,-0.0795000,-0.0961000,0.9072000,-0.0249712,0.4813887,0.0370265,0.0038051,0.0041181,0.2165093,27
588,1.1700000,-3.9600000,0.1100000,0.0058000,0.0253000,0.9345000,-0.2317232,0.3556499,-0.0257805,0.0006425,0.0009789,0.3527480,27
589,3.2500000,5.2500000,2.1900000,0.0063000,0.0058000,1.0966000,-0.3027305,0.0899870,-0.0499325,-0.0026745,-0.0019103,0.4895663,27
590,-5.3500000,-2.0600000,0.1800000,-0.0297000,0.0146000,1.0112000,-0.2773583,0.0023483,0.0323782,-0.0048141,-0.0025756,0.6211094,27
591,0.3800000,-7.1900000,-1.3400000,-0.0336000,-0.0546000,0.8193000,-0.3807940,-0.1757529,0.1068681,-0.0075407,-0.0031890,0.7346733,27
592,3.8600000,-1.4500000,1.0900000,0.0478000,0.0795000,1.1010000,-0.4312031,-0.6351509,0.1177397,-0.0096698,-0.0036295,0.8238175,27
593,0.0800000,4.1500000,1.9500000,0.0078000,0.0053000,1.1650000,-0.2646110,-0.9980578,0.1712864,-0.0088567,-0.0014173,0.8988851,27
594,-4.6700000,-4.8100000,-1.1600000,-0.0336000,-0.0585000,0.8818000,-0.1495640,-1.1096613,0.2687879,-0.0070252,0.0007500,0.9614349,27
595,1.5400000,-6.9500000,-0.3000000,0.0239000,0.0083000,0.8867000,-0.2188070,-1.3415308,0.2962721,-0.0059992,0.0000031,1.0009399,27
596,5.2600000,3.7900000,2.8600000,0.0571000,0.0361000,1.1279000,-0.1719326,-1.6821147,0.3121903,-0.0034272,-0.0005926,1.0218450,27
597,-4.3700000,0.2500000,1.6400000,0.0122000,0.0058000,1.0927000,0.0263833,-1.7477453,0.4391087,0.0015161,0.0008061,1.0382212,27
598,-1.6800000,-6.7600000,-0.4900000,-0.0478000,-0.0883000,0.8193000,0.0478239,-1.6990410,0.5987039,0.0052416,0.0008230,1.0483167,27
599,3.7400000,-2.8600000,2.2500000,0.0424000,0.0546000,1.0449000,-0.0223996,-1.8552594,0.7114072,0.0063864,-0.0015659,1.0464154,27
600,0.9300000,5.5600000,4.0200000,0.0385000,0.0610000,1.1088000,0.0695230,-1.9453877,0.8878093,0.0081239,-0.0013274,1.0418268,27
601,-4.7400000,-2.6700000,0.6000000,-0.0170000,-0.0214000,0.8940000,0.1401643,-1.7346459,1.1483321,0.0106421,0.0020491,1.0386669,27
602,1.6600000,-8.2300000,-0.1800000,-0.0278000,-0.0410000,0.9252000,0.0358359,-1.6210040,1.3243895,0.0109344,0.0035921,1.0299592,27
603,4.0400000,1.2800000,2.7400000,0.0703000,0.0942000,1.1743000,0.0186644,-1.7763869,1.3907598,0.0101972,0.0041084,1.0203350,27
604,-2.3600000,4.7000000,1.7600000,0.0576000,0.0419000,0.9931000,0.1543672,-1.7528194,1.4633905,0.0123274,0.0079113,1.0178891,27
605,-2.9700000,-6.1500000,-1.4600000,-0.0390000,-0.0649000,0.8613000,0.1556954,-1.5059168,1.4888133,0.0156456,0.0119861,1.0153213,27
606,4.4100000,-4.6900000,-0.1200000,0.0209000,-0.0092000,1.1337000,0.0659153,-1.4734144,1.3598100,0.0165269,0.0116866,1.0094190,27
607,0.7500000,7.3300000,1.7600000,0.1206000,0.1093000,1.0561000,0.1355897,-1.4988881,1.1690403,0.0182427,0.0110778,1.0085883,27
608,-4.2500000,1.5300000,-0.9100000,0.0288000,-0.0258000,0.8945000,0.2027215,-1.1638561,1.0027844,0.0237199,0.0134847,1.0101853,27
609,-0.1600000,-6.7600000,-2.7400000,-0.0805000,-0.1040000,1.0136000,0.0706319,-0.7825836,0.7593653,0.0272894,0.0130153,1.0075536,27
610,4.0400000,2.1400000,-0.0600000,0.0678000,0.0400000,1.1679000,-0.0304023,-0.6730074,0.4127080,0.0260930,0.0077765,1.0070584,27
