index,gx_raw_dps,gy_raw_dps,gz_raw_dps,ax_raw_g,ay_raw_g,az_raw_g,gx_25hz_dps,gy_25hz_dps,gz_25hz_dps,ax_25hz_g,ay_25hz_g,az_25hz_g,bad
495,2.3200000,-1.6100000,-0.9500000,-0.0395000,-0.0175000,0.9848000,0.0465934,-0.0323342,-0.0190792,-0.0007933,-0.0003515,0.0197781,0
496,1.1600000,1.1900000,-2.2900000,-0.0390000,-0.0571000,1.0834000,0.1892167,-0.0912435,-0.1139323,-0.0036082,-0.0023983,0.0921885,0
497,-2.4900000,1.3700000,-2.4700000,0.0097000,0.0107000,1.0405000,0.3086671,-0.0787168,-0.3262808,-0.0072886,-0.0059485,0.2154147,0
498,-1.4500000,-1.3700000,-1.6800000,0.0200000,0.0620000,0.9863000,0.2546412,-0.0129458,-0.6152024,-0.0090556,-0.0072193,0.3605010,0
499,1.0400000,-1.6700000,-1.9200000,-0.0512000,0.0122000,0.7573000,0.1121728,-0.0307769,-0.9067275,-0.0094914,-0.0045042,0.5003144,0
500,2.8100000,-2.8900000,-3.0800000,-0.0834000,-0.0195000,1.0107000,0.0808760,-0.1923740,-1.1935740,-0.0123383,-0.0010574,0.6203167,0
501,0.5500000,-0.5700000,-4.1200000,-0.0395000,-0.0346000,1.1191000,0.1991078,-0.4416292,-1.5266765,-0.0183445,0.0000050,0.7257291,0
502,-2.6700000,-0.7000000,-3.9400000,0.0249000,0.0175000,1.0131000,0.2838442,-0.6610061,-1.9241414,-0.0234843,-0.0007440,0.8206305,0
503,-1.0800000,-2.7700000,-3.0200000,0.0410000,0.0224000,1.0698000,0.1974986,-0.8437980,-2.3261353,-0.0238639,-0.0007066,0.9002250,0
504,0.9800000,-2.2800000,-3.2000000,-0.0136000,-0.0322000,0.8022000,0.0489339,-1.0643570,-2.6617870,-0.0203165,-0.0000214,0.9583825,0
505,3.4800000,-5.4600000,-4.3600000,-0.0693000,-0.0649000,0.9272000,0.0372842,-1.3771757,-2.9399760,-0.0175239,-0.0017272,0.9910200,0
506,2.6300000,-2.2200000,-5.3400000,-0.0683000,-0.0854000,1.0947000,0.2390987,-1.7768546,-3.2288534,-0.0187535,-0.0076510,1.0076788,0
507,-0.2300000,-1.1800000,-4.8500000,-0.0039000,-0.0585000,1.0878000,0.5202345,-2.1129721,-3.5541986,-0.0222491,-0.0167442,1.0218511,0
508,-0.2300000,-2.9500000,-3.3300000,0.0664000,0.0385000,1.0468000,0.6977109,-2.3100270,-3.8462696,-0.0228984,-0.0245226,1.0355536,0
509,2.2000000,-3.0800000,-1.9200000,0.0375000,0.0429000,0.8271000,0.7858121,-2.4548831,-3.9943253,-0.0181335,-0.0263082,1.0416563,0
510,3.8500000,-5.8200000,-2.2900000,-0.0791000,-0.0371000,0.9736000,0.9402574,-2.6504221,-3.9583917,-0.0123696,-0.0235888,1.0356888,0
511,3.6100000,-2.6500000,-3.3300000,-0.1069000,-0.0981000,1.0214000,1.2351034,-2.9117619,-3.8147739,-0.0122502,-0.0225484,1.0248915,0
512,1.2300000,-2.3400000,-3.4500000,-0.0424000,-0.0976000,1.0576000,1.5720086,-3.1157828,-3.6652441,-0.0179234,-0.0267154,1.0174532,0
513,-0.4700000,-2.1000000,-2.2900000,0.0024000,-0.0239000,1.0371000,1.7742652,-3.1857164,-3.5263450,-0.0239239,-0.0336122,1.0147690,0
514,2.5100000,-4.4200000,-0.0300000,-0.0024000,0.0009000,0.9536000,1.8176834,-3.1947626,-3.3158503,-0.0266538,-0.0382373,1.0135762,0
515,5.9900000,-6.3100000,1.0600000,-0.0600000,-0.0156000,0.8930000,1.9111876,-3.2903561,-2.9403830,-0.0275166,-0.0388891,1.0084530,0
516,5.4400000,-4.7800000,0.5700000,-0.0688000,-0.0351000,0.9291000,2.2178859,-3.5255585,-2.4099436,-0.0296994,-0.0374964,0.9978346,0
517,3.7300000,-4.4800000,-0.0900000,-0.0537000,-0.0771000,1.0717000,2.6501342,-3.8018822,-1.8337704,-0.0337605,-0.0368626,0.9876416,0
518,0.6200000,-3.2000000,-0.0900000,0.0029000,-0.0151000,1.0917000,2.9859900,-4.0138967,-1.3109027,-0.0371334,-0.0375999,0.9853949,0
519,1.4100000,-3.4400000,1.0000000,0.0356000,0.0278000,1.0083000,3.0896486,-4.1150161,-0.8555905,-0.0365606,-0.0366488,0.9904171,0
520,4.4600000,-4.3600000,1.4900000,-0.0444000,0.0053000,0.8940000,3.0665867,-4.1392996,-0.4265594,-0.0326597,-0.0321749,0.9944542,0
521,5.3200000,-6.3100000,0.8100000,-0.0732000,-0.0068000,0.8818000,3.1197511,-4.1932894,-0.0209332,-0.0300727,-0.0260862,0.9910241,0
522,6.2900000,-6.0100000,0.7500000,-0.0522000,-0.0747000,0.9965000,3.3328109,-4.3527709,0.3184191,-0.0308780,-0.0217525,0.9825984,0
523,2.8100000,-4.0500000,1.4900000,0.0146000,-0.0483000,1.2260000,3.6176475,-4.5548473,0.5868004,-0.0321875,-0.0213327,0.9806169,0
524,-0.5300000,-2.7100000,2.4600000,0.0678000,-0.0039000,1.0605000,3.7382585,-4.6563449,0.8361035,-0.0295419,-0.0228683,0.9911257,0
525,2.8100000,-3.9900000,2.8900000,0.0576000,0.0620000,0.8764000,3.6068854,-4.6177024,1.1156026,-0.0212986,-0.0218976,1.0030650,0
526,4.2200000,-4.5400000,1.3600000,-0.0229000,0.0253000,0.9931000,3.4198517,-4.5278326,1.3980399,-0.0110854,-0.0165958,1.0065879,0
527,3.3600000,-3.1400000,-0.2100000,-0.0507000,0.0097000,0.9418000,3.3185868,-4.4320094,1.5753223,-0.0044259,-0.0094061,1.0043899,0
528,3.0000000,-3.9300000,-0.2700000,-0.0034000,-0.0043000,1.0581000,3.2670090,-4.3107441,1.5759274,-0.0023639,-0.0032280,1.0013180,0
529,-0.7200000,-3.0100000,0.4500000,0.0249000,-0.0004000,1.1606000,3.1449996,-4.1680414,1.4436908,-0.0015062,0.0010077,1.0036323,0
530,0.6200000,-2.4000000,1.8500000,0.0537000,0.0336000,0.9272000,2.8578818,-3.9897152,1.2927107,0.0011752,0.0042157,1.0109803,0
531,3.6700000,-4.4200000,1.4200000,0.0073000,-0.0048000,0.9404000,2.5283041,-3.8004574,1.2038958,0.0056041,0.0071797,1.0139152,0
532,3.0000000,-3.5000000,-0.5800000,-0.0239000,-0.0170000,0.9331000,2.3339352,-3.6698015,1.1327638,0.0088861,0.0086445,1.0094800,0
533,2.6900000,-3.5600000,-0.5200000,-0.0034000,0.0341000,1.1284000,2.2700138,-3.5920462,0.9909226,0.0093956,0.0087951,1.0045685,0
534,-1.2700000,-2.7100000,0.2700000,0.0249000,0.0483000,1.1259000,2.1894523,-3.5213274,0.7932358,0.0088510,0.0101834,1.0073939,0
535,1.4700000,-2.7100000,1.1200000,0.0444000,0.1049000,0.9033000,1.9944329,-3.4278660,0.6256207,0.0096143,0.0149874,1.0143056,0
536,2.2000000,-4.6000000,-0.1500000,0.0297000,0.0585000,0.9794000,1.7868598,-3.3482134,0.5152590,0.0122114,0.0232228,1.0158199,0
537,3.1200000,-3.5000000,-1.8600000,0.0209000,-0.0087000,0.8750000,1.6907374,-3.3376391,0.3821991,0.0154005,0.0309209,1.0102403,0
538,2.5700000,-3.8700000,-2.3500000,0.0317000,-0.0126000,1.0878000,1.7143842,-3.3734229,0.1412390,0.0182813,0.0339464,1.0021680,0
539,-0.4700000,-1.5500000,-1.6200000,0.0605000,0.0185000,1.1694000,1.7482771,-3.3822404,-0.1889293,0.0215683,0.0328505,1.0012350,0
540,-0.9600000,-1.2400000,-0.2700000,0.0659000,0.0449000,0.9501000,1.6430251,-3.2810729,-0.5031944,0.0263341,0.0309004,1.0081028,0
541,0.9200000,-4.3000000,-0.7600000,0.0180000,0.0961000,0.9790000,1.4140091,-3.1199035,-0.7229689,0.0314986,0.0312725,1.0128326,0
542,2.6900000,-1.8500000,-2.5900000,0.0268000,0.0117000,0.9453000,1.2252347,-3.0006792,-0.8938082,0.0348652,0.0339956,1.0118910,0
543,1.3500000,-2.5300000,-3.3900000,0.0317000,-0.0112000,0.9833000,1.1593744,-2.8946374,-1.1189514,0.0362982,0.0351861,1.0073776,0
544,0.9800000,-0.5100000,-3.0800000,0.0629000,0.0034000,1.1606000,1.1519293,-2.7431097,-1.4234960,0.0373760,0.0329764,1.0053463,0
545,-2.8500000,0.0900000,-1.6800000,0.0781000,0.0097000,1.0761000,1.0638542,-2.4950521,-1.7299980,0.0397964,0.0290166,1.0112578,0
546,0.3100000,-0.7600000,-0.6400000,0.0273000,0.0620000,0.9277000,0.8333364,-2.1574147,-1.9297870,0.0431002,0.0258490,1.0189748,0
547,1.2900000,-1.0600000,-1.9200000,0.0229000,0.0146000,0.9682000,0.5996703,-1.8175654,-2.0009024,0.0448818,0.0247193,1.0203854,0
548,1.4700000,-1.0600000,-3.0200000,-0.0019000,-0.0366000,0.8735000,0.4891981,-1.5327197,-2.0363982,0.0438488,0.0231055,1.0143827,0
549,1.9600000,-0.5100000,-2.3500000,0.0170000,-0.0590000,1.1181000,0.5033636,-1.3010124,-2.1026321,0.0403887,0.0178525,1.0060295,0
550,-2.7900000,1.0600000,-0.2700000,0.0434000,0.0073000,1.1494000,0.5242285,-1.0683768,-2.1366657,0.0364414,0.0100911,1.0053914,0
551,-0.3500000,2.0400000,1.4900000,0.0249000,0.0581000,0.9370000,0.4157662,-0.7600449,-2.0149642,0.0335670,0.0045778,1.0116566,0
552,0.0100000,-0.8200000,0.8800000,0.0097000,0.0463000,0.9282000,0.2429137,-0.4144786,-1.7029424,0.0310935,0.0040842,1.0137663,0
553,2.5100000,-0.0200000,-0.4000000,0.0131000,-0.0083000,0.9165000,0.1563221,-0.1519209,-1.3087859,0.0281621,0.0062995,1.0081873,0
554,0.7400000,0.5800000,-0.8800000,0.0126000,-0.0869000,1.0830000,0.2041095,0.0230519,-0.9669204,0.0249937,0.0060654,1.0008225,0
555,-1.5700000,2.7700000,0.2700000,0.0278000,-0.0454000,1.1440000,0.2669630,0.2119450,-0.7079459,0.0222813,0.0008590,1.0005819,0
556,-1.6900000,3.3200000,2.1600000,0.0327000,0.0307000,0.9799000,0.2036872,0.5056527,-0.4484288,0.0207782,-0.0055013,1.0074281,0
557,-0.4100000,0.8800000,2.1600000,0.0053000,0.0610000,0.9326000,0.0390954,0.8600595,-0.1104005,0.0201232,-0.0075922,1.0119533,0
558,1.6500000,0.9400000,0.8100000,-0.0004000,-0.0068000,0.9013000,-0.0868782,1.1391693,0.2616711,0.0189482,-0.0053931,1.0088021,0
559,1.5900000,0.7600000,0.0200000,-0.0180000,-0.0864000,0.9975000,-0.0707188,1.2973567,0.5555956,0.0164012,-0.0043327,1.0007057,0
560,-0.1700000,2.8300000,0.6900000,-0.0043000,-0.0957000,1.1855000,0.0389146,1.4008304,0.7304000,0.0126328,-0.0088335,0.9970992,0
561,-4.0700000,4.5400000,2.1000000,0.0043000,0.0058000,0.9975000,0.0494669,1.5747735,0.8541273,0.0087532,-0.0164732,1.0023697,0
562,-0.5300000,2.4100000,3.0100000,-0.0117000,0.0341000,0.9736000,-0.1252762,1.8474190,1.0235236,0.0054132,-0.0210537,1.0086545,0
563,-0.6600000,1.8600000,2.0400000,-0.0224000,-0.0034000,0.8876000,-0.3435667,2.0992065,1.2539900,0.0020028,-0.0208822,1.0086220,0
564,2.0200000,0.7000000,1.1200000,-0.0141000,-0.0922000,1.0390000,-0.4525536,2.2292236,1.4659471,-0.0017633,-0.0203981,1.0036469,0
565,-1.2700000,2.7100000,1.8500000,-0.0126000,-0.0595000,1.1538000,-0.4437215,2.2534268,1.6072325,-0.0053062,-0.0234156,1.0025610,0
566,-3.2200000,4.0600000,3.3200000,-0.0141000,0.0170000,1.0292000,-0.4775231,2.2923726,1.7322102,-0.0082247,-0.0273700,1.0092062,0
567,-1.5700000,2.4700000,3.0700000,-0.0185000,0.0727000,0.9301000,-0.6472143,2.4003052,1.9053741,-0.0106267,-0.0267595,1.0155865,0
568,-0.3500000,1.2500000,1.1800000,-0.0102000,0.0087000,0.8559000,-0.8388125,2.4825575,2.0770548,-0.0125447,-0.0207820,1.0133111,0
569,0.5500000,0.5200000,0.1400000,-0.0185000,-0.0576000,1.0039000,-0.9288530,2.4461355,2.1321698,-0.0139198,-0.0146261,1.0036689,0
570,-1.2700000,3.0800000,0.5700000,-0.0253000,-0.0810000,1.1069000,-0.9224260,2.3341173,2.0370026,-0.0151395,-0.0132687,0.9965997,0
571,-3.5900000,3.8100000,1.8500000,-0.0273000,0.0097000,1.0415000,-0.9562675,2.2854411,1.8751884,-0.0166416,-0.0155477,0.9975447,0
572,-2.2400000,2.5300000,1.9700000,-0.0419000,0.0727000,1.0541000,-1.1158427,2.3363281,1.7460885,-0.0187143,-0.0155374,1.0032483,0
573,-2.4300000,2.5300000,0.3900000,-0.0317000,0.0273000,0.8002000,-1.3394224,2.4102296,1.6471359,-0.0214081,-0.0106194,1.0056392,0
574,1.4700000,-0.4500000,-1.4300000,-0.0068000,-0.0122000,0.9125000,-1.4882845,2.4073996,1.4778625,-0.0236674,-0.0043006,0.9980235,0
575,0.6800000,0.5200000,-1.9800000,-0.0195000,-0.0800000,1.1606000,-1.4402992,2.2553691,1.1612059,-0.0245165,-0.0014509,0.9889961,0
576,-2.0000000,3.1400000,-0.8200000,-0.0034000,0.0034000,1.0004000,-1.2771503,2.0515935,0.7401163,-0.0240796,-0.0028968,0.9887919,0
577,-1.3900000,1.1300000,-0.0900000,-0.0361000,0.0781000,1.0522000,-1.1645093,1.9153511,0.3360844,-0.0231183,-0.0034930,0.9938511,0
578,-0.9000000,0.7600000,-1.0700000,-0.0532000,0.0478000,0.8818000,-1.1127913,1.7978187,0.0083866,-0.0232313,0.0005705,0.9973207,0
579,2.3900000,-1.7900000,-2.1700000,-0.0078000,-0.0122000,0.8818000,-1.0062941,1.5952857,-0.2908235,-0.0244560,0.0063743,0.9936880,0
580,1.3500000,-0.5100000,-2.2900000,-0.0200000,-0.0854000,1.0849000,-0.7521170,1.2703585,-0.6140014,-0.0250603,0.0083393,0.9864487,0
581,-0.3500000,2.2200000,-1.3100000,-0.0195000,-0.0683000,1.0644000,-0.4334847,0.9480644,-0.9338191,-0.0247863,0.0038827,0.9852241,0
582,-1.3300000,0.5200000,-0.2700000,-0.0229000,0.0566000,1.0424000,-0.2079628,0.7545703,-1.1679496,-0.0242642,-0.0026092,0.9907690,0
583,-0.1100000,0.4500000,-0.0900000,-0.0107000,0.0781000,0.9433000,-0.1092777,0.6443646,-1.2632459,-0.0235065,-0.0040930,0.9969246,0
584,0.9200000,-2.2800000,-1.2500000,0.0053000,0.0444000,0.8613000,-0.0498597,0.5046483,-1.2570251,-0.0219154,0.0004496,0.9969080,0
585,3.1800000,-2.7700000,-2.3500000,-0.0043000,-0.0332000,1.0039000,0.0908628,0.2363273,-1.2512661,-0.0192228,0.0060121,0.9905143,0
586,0.6800000,-1.0600000,-1.9200000,-0.0141000,-0.0395000,1.1005000,0.3336797,-0.1330861,-1.3051101,-0.0163011,0.0078615,0.9865652,0
587,-1.6300000,0.5200000,-0.6400000,-0.0190000,0.0541000,1.0595000,0.5210477,-0.4470830,-1.3719684,-0.0141520,0.0072492,0.9904217,0
588,-1.6300000,0.0900000,-0.2700000,-0.0195000,0.0747000,1.0073000,0.5148079,-0.6111438,-1.3743224,-0.0130748,0.0091541,0.9982195,0
589,-0.6600000,-2.9500000,-1.0700000,0.0004000,0.0732000,0.8574000,0.3579870,-0.7124567,-1.3106156,-0.0124904,0.0151975,1.0019879,0
590,2.7500000,-3.2600000,-2.1700000,0.0253000,-0.0424000,0.9033000,0.2246346,-0.9023560,-1.2564528,-0.0109796,0.0214415,0.9967219,0
591,1.0400000,-3.2600000,-1.9200000,0.0034000,-0.0776000,1.1137000,0.2391534,-1.2073200,-1.2679912,-0.0080361,0.0219322,0.9891433,0
592,-0.4700000,-0.2700000,-0.5800000,-0.0063000,-0.0175000,1.0849000,0.3168165,-1.5077589,-1.3058786,-0.0049846,0.0161651,0.9894850,0
593,-2.4300000,-1.3100000,0.4500000,-0.0156000,0.0698000,1.0195000,0.2943807,-1.6819483,-1.2780913,-0.0031251,0.0103081,0.9966340,0
594,-0.6000000,-2.8300000,0.5100000,-0.0078000,0.0698000,0.9096000,0.1372484,-1.7734251,-1.1409272,-0.0025913,0.0095777,1.0021623,0
595,0.9800000,-3.8700000,-0.4000000,0.0190000,-0.0019000,0.9052000,-0.0277752,-1.9073322,-0.9398130,-0.0022857,0.0125071,1.0003908,0
596,2.0800000,-4.1700000,-0.2100000,0.0209000,-0.0576000,1.0234000,-0.0622952,-2.1360200,-0.7453713,-0.0008799,0.0135499,0.9940699,0
597,0.6200000,-2.2800000,0.5700000,-0.0083000,0.0034000,1.1123000,0.0362499,-2.4021033,-0.5658084,0.0011468,0.0108467,0.9917837,0
598,-2.5500000,-1.1800000,1.4900000,-0.0131000,0.0507000,0.9804000,0.1120040,-2.5788132,-0.3565904,0.0021778,0.0082396,0.9955646,0
599,0.3100000,-3.9900000,1.3600000,0.0185000,0.0297000,0.8793000,0.0678438,-2.6583009,-0.0951526,0.0023427,0.0086068,0.9973898,0
600,1.9600000,-4.9100000,0.5700000,0.0571000,-0.0507000,0.9736000,0.0346739,-2.7783028,0.1761634,0.0038870,0.0093439,0.9929981,0
601,1.3500000,-3.3200000,1.0000000,0.0385000,-0.0781000,1.0039000,0.1226800,-2.9761037,0.4063122,0.0080035,0.0060575,0.9873379,0
602,1.5900000,-1.1800000,2.0400000,0.0112000,-0.0249000,1.1196000,0.2947887,-3.1195441,0.6138624,0.0129188,-0.0011922,0.9867533,0
603,-2.8500000,-1.0000000,2.4600000,-0.0146000,0.0747000,1.1020000,0.4152295,-3.0950930,0.8490900,0.0159632,-0.0068144,0.9943733,0
604,-0.6600000,-0.7600000,2.0400000,0.0107000,0.0678000,0.8764000,0.3633199,-2.9099002,1.1124935,0.0164868,-0.0060108,1.0037291,0
