duty,axis,samples,start_index,end_index,missing_indices,bad_delta,mean_raw,rms_raw_ac,rms_25hz_ac,dominant_hz
2500,gx,1505,495,1999,0,0,0.005224199288256234,2.0760828250226186,1.1116013238525362,95.37366548042705
2500,gy,1505,495,1999,0,0,-0.02501067615658363,1.8408225619304956,1.313671519150145,95.72953736654804
2500,gz,1505,495,1999,0,0,0.010370106761565842,0.9573260534580296,0.5617185239107936,95.37366548042705
2500,ax,1505,495,1999,0,0,0.0016045551601423487,0.05433298710863699,0.013928068679691236,94.66192170818506
2500,ay,1505,495,1999,0,0,-0.001133594306049822,0.04592954246911895,0.016376844615887502,95.37366548042705
2500,az,1505,495,1999,0,0,0.9993283985765125,0.0907651525810331,0.007423651090530024,95.37366548042705
3000,gx,1475,525,1999,0,0,-0.0046472727272727325,2.3675001628380126,1.0839458827776978,109.45454545454545
3000,gy,1475,525,1999,0,0,-0.01997818181818183,3.294249612372274,1.7661098365896315,113.45454545454545
3000,gz,1475,525,1999,0,0,0.009461818181818188,1.0141142850229472,0.680882899522849,113.45454545454545
3000,ax,1475,525,1999,0,0,0.0019812363636363636,0.08475652605990958,0.01722007271318736,109.45454545454545
3000,ay,1475,525,1999,0,0,-0.004204509090909091,0.06555237291062432,0.014105944103612923,113.45454545454545
3000,az,1475,525,1999,0,0,0.9989298909090908,0.21262827726336894,0.013710350485875046,113.45454545454545
3500,gx,1503,497,1999,0,2,-0.0044119743406985205,2.1579633210166134,0.8085060618833126,124.73271560940842
3500,gy,1503,497,1999,0,2,-0.00570206699928727,2.9518419033831713,1.322325402400372,124.73271560940842
3500,gz,1503,497,1999,0,2,-0.0047113328581610825,0.7599962289782496,0.4545652039000911,124.73271560940842
3500,ax,1503,497,1999,0,2,0.002413186029935852,0.06612061844790412,0.010839594544624364,124.73271560940842
3500,ay,1503,497,1999,0,2,0.000139558089807555,0.04364090013174967,0.007968873539329882,126.87099073414113
3500,az,1503,497,1999,0,2,1.000507982893799,0.23076818959201842,0.01177788204181234,124.73271560940842
4000,gx,1415,585,1999,0,53,0.017520912547528505,2.819483613451378,0.8882000911521898,140.68441064638785
4000,gy,1415,585,1999,0,53,-0.02423574144486692,6.097733937190157,1.8014238346623166,138.02281368821295
4000,gz,1415,585,1999,0,53,0.006068441064638781,1.4988736389135306,0.7656688642670313,138.02281368821295
4000,ax,1415,585,1999,0,53,3.5589353612167096e-05,0.07927017887019518,0.017252750712376804,138.02281368821295
4000,ay,1415,585,1999,0,53,-0.0014493536121673004,0.057774337106532805,0.012399804584429013,138.02281368821295
4000,az,1415,585,1999,0,53,1.0248247908745245,0.3031659602116305,0.05624765967696392,140.68441064638785
4500,gx,1411,589,1999,0,34,-0.04019832189168574,3.4980449534186286,1.1335255071531631,151.41113653699466
4500,gy,1411,589,1999,0,34,-0.015278413424866532,5.109242912368616,1.2551498177348188,154.08085430968725
4500,gz,1411,589,1999,0,34,0.0879481311975591,1.8520641751786324,0.7776023532851746,151.02974828375287
4500,ax,1411,589,1999,0,34,0.001457894736842105,0.07846288805722296,0.014338965025909754,154.08085430968725
4500,ay,1411,589,1999,0,34,0.006915560640732265,0.0753296707825048,0.01338260525121483,151.41113653699466
4500,az,1411,589,1999,0,34,1.0172665903890161,0.2844602746233542,0.048077400459184766,154.08085430968725
