time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
1.760118,8.870000,9.031611,-0.410000,-1.438638,9.246550,1.418695
1.780120,9.070000,8.991633,0.170000,-1.421854,9.237754,1.420479
1.800123,8.890000,8.967325,-0.500000,-0.898073,9.178135,0.987340
1.820123,9.100000,8.944154,0.330000,-0.667426,9.188689,1.172491
1.840125,8.810000,8.942314,-0.690000,-0.064600,9.113709,0.637699
1.860124,9.010000,8.936573,0.100000,0.146669,9.110333,0.762399
1.880127,8.820000,8.957546,-0.600000,0.648156,9.053199,0.409664
1.900116,9.120000,8.977067,0.770000,0.873703,9.092043,0.933754
1.920131,8.910000,8.999377,0.640000,1.617580,9.062913,0.793991
1.940130,9.110000,9.036599,1.470000,1.816699,9.096232,1.152591
1.960134,8.900000,9.082768,0.570000,2.587987,9.062895,0.881194
1.980133,9.000000,9.135629,0.660000,2.865546,9.064881,0.963681
2.000137,9.300000,9.195990,2.370000,3.487120,9.150195,1.672106
2.020137,9.100000,9.264439,1.820000,3.592735,9.159828,1.611503
2.040137,9.510000,9.340043,3.480000,4.207904,9.281668,2.433349
2.060140,9.320000,9.414901,2.790000,4.207188,9.321864,2.416188
2.080142,9.640000,9.502086,3.860000,4.623791,9.441574,3.026115
2.100142,9.450000,9.593429,2.950000,4.476384,9.479585,2.856071
2.120141,9.860000,9.681319,4.370000,4.731152,9.622217,3.540565
2.140143,9.670000,9.769131,3.460000,4.512187,9.677241,3.381924
2.160146,9.980000,9.861186,4.280000,4.749280,9.804350,3.823606
2.180132,9.890000,9.950969,3.640000,4.303230,9.874712,3.741316
2.200150,10.200000,10.038492,4.910000,4.261198,10.013406,4.278251
2.220147,10.000000,10.122788,4.070000,3.843130,10.062140,3.980390
2.240150,10.310000,10.208552,4.760000,4.002988,10.183931,4.327041
2.260150,10.210000,10.281272,4.030000,4.015416,10.246957,4.134641
2.280154,10.510000,10.377705,4.850000,4.004559,10.376387,4.510080
2.300153,10.300000,10.447418,3.660000,4.132903,10.414065,4.087763
2.340158,10.480000,10.614987,4.250000,4.144519,10.543643,3.892733
2.360158,10.770000,10.703214,4.880000,4.063996,10.667162,4.273414
2.380159,10.670000,10.776530,4.140000,4.312941,10.724535,4.068858
2.400160,10.970000,10.889347,5.120000,4.550604,10.853688,4.521073
2.420163,10.770000,10.967523,4.120000,4.722508,10.889653,4.146886
2.440162,11.180000,11.073484,5.330000,4.887282,11.032515,4.702145
2.480166,11.380000,11.276606,5.470000,5.138973,11.269666,5.175821
2.500167,11.270000,11.366284,4.830000,5.309611,11.333662,4.884736
2.520169,11.560000,11.483015,5.520000,5.422691,11.467479,5.175178
2.540158,11.450000,11.577926,4.700000,5.480234,11.530347,4.914938
2.560168,11.750000,11.700175,5.900000,5.462202,11.662930,5.301584
2.580174,11.640000,11.793510,5.260000,5.520894,11.728075,5.056444
2.600174,12.050000,11.919056,6.390000,5.423648,11.891916,5.629605
2.640177,12.270000,12.127554,6.870000,5.247422,12.165371,6.225939
2.660179,12.060000,12.225324,5.890000,5.257389,12.210102,5.680911
2.680167,12.460000,12.352211,6.720000,5.311145,12.363754,6.073045
2.700167,12.360000,12.452379,6.030000,5.644517,12.444163,5.849924
