time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
1.540106,9.200000,9.102528,5.840000,2.067091,9.213645,5.291099
1.560100,9.200000,9.122508,5.750000,1.425409,9.282611,4.882273
1.580108,9.300000,9.159491,5.330000,0.875015,9.362109,4.850388
1.600105,9.300000,9.163664,5.670000,0.323189,9.411771,4.408829
1.620110,9.290000,9.180472,4.590000,-0.212910,9.438611,3.756311
1.640114,8.990000,9.156530,1.840000,-0.654255,9.343147,1.718686
1.660101,9.290000,9.155049,2.430000,-1.039660,9.389634,2.342032
1.680115,8.980000,9.133909,1.100000,-1.448019,9.300161,0.981110
1.700114,9.170000,9.120700,1.450000,-1.513579,9.310093,1.271796
1.720117,8.960000,9.092790,0.340000,-1.484807,9.233414,0.269079
1.740120,9.160000,9.056564,0.920000,-1.694558,9.253515,0.811917
1.760118,8.870000,9.031611,-0.410000,-1.438638,9.153705,-0.392673
1.780120,9.070000,8.991633,0.170000,-1.421854,9.160003,0.138254
1.800123,8.890000,8.967325,-0.500000,-0.898073,9.092199,-0.507696
1.820123,9.100000,8.944154,0.330000,-0.667426,9.122503,0.276400
1.840125,8.810000,8.942314,-0.690000,-0.064600,9.030476,-0.729949
1.860124,9.010000,8.936573,0.100000,0.146669,9.043793,-0.092390
1.880127,8.820000,8.957546,-0.600000,0.648156,8.978652,-0.706178
1.900116,9.120000,8.977067,0.770000,0.873703,9.045673,0.732805
1.920131,8.910000,8.999377,0.640000,1.617580,9.009626,0.349608
1.940130,9.110000,9.036599,1.470000,1.816699,9.061709,1.155147
1.960134,8.900000,9.082768,0.570000,2.587987,9.017338,0.404537
1.980133,9.000000,9.135629,0.660000,2.865546,9.026904,0.651627
2.000137,9.300000,9.195990,2.370000,3.487120,9.143000,2.161997
2.020137,9.100000,9.264439,1.820000,3.592735,9.143207,1.662592
2.040137,9.510000,9.340043,3.480000,4.207904,9.296804,3.263626
2.060140,9.320000,9.414901,2.790000,4.207188,9.325299,2.717086
2.080142,9.640000,9.502086,3.860000,4.623791,9.464663,3.772357
2.100142,9.450000,9.593429,2.950000,4.476384,9.485022,2.961504
2.120141,9.860000,9.681319,4.370000,4.731152,9.652156,4.278465
2.140143,9.670000,9.769131,3.460000,4.512187,9.689309,3.503800
2.160146,9.980000,9.861186,4.280000,4.749280,9.830200,4.304428
2.180132,9.890000,9.950969,3.640000,4.303230,9.887471,3.834740
2.200150,10.200000,10.038492,4.910000,4.261198,10.040780,4.915947
2.220147,10.000000,10.122788,4.070000,3.843130,10.067292,3.954514
2.240150,10.310000,10.208552,4.760000,4.002988,10.201861,4.673502
2.260150,10.210000,10.281272,4.030000,4.015416,10.251339,4.054658
2.280154,10.510000,10.377705,4.850000,4.004559,10.394979,4.841453
2.300153,10.300000,10.447418,3.660000,4.132903,10.409166,3.728450
2.340158,10.480000,10.614987,4.250000,4.144519,10.524868,3.354692
2.360158,10.770000,10.703214,4.880000,4.063996,10.670362,4.365337
2.380159,10.670000,10.776530,4.140000,4.312941,10.715176,3.817520
2.400160,10.970000,10.889347,5.120000,4.550604,10.861839,4.867668
2.420163,10.770000,10.967523,4.120000,4.722508,10.875744,3.883341
2.440162,11.180000,11.073484,5.330000,4.887282,11.043438,5.157619
2.480166,11.380000,11.276606,5.470000,5.138973,11.296673,5.826693
2.500167,11.270000,11.366284,4.830000,5.309611,11.337781,4.865283
2.520169,11.560000,11.483015,5.520000,5.422691,11.484275,5.443810
2.540158,11.450000,11.577926,4.700000,5.480234,11.528659,4.748429
2.560168,11.750000,11.700175,5.900000,5.462202,11.675168,5.647206
2.580174,11.640000,11.793510,5.260000,5.520894,11.725129,4.944503
2.600174,12.050000,11.919056,6.390000,5.423648,11.913343,6.165404
2.640177,12.270000,12.127554,6.870000,5.247422,12.203192,7.073720
2.660179,12.060000,12.225324,5.890000,5.257389,12.212136,5.506976
2.680167,12.460000,12.352211,6.720000,5.311145,12.385230,6.389082
2.700167,12.360000,12.452379,6.030000,5.644517,12.449102,5.734183
2.720180,12.660000,12.557429,6.980000,5.354700,12.606790,6.642355
2.740181,12.540000,12.658812,6.250000,5.144118,12.660342,5.812099
2.760183,12.840000,12.759272,6.650000,4.722184,12.809371,6.391910
2.780182,12.740000,12.848045,5.650000,4.605138,12.864721,5.548130
2.800186,13.040000,12.941417,6.190000,4.262358,13.011697,6.119022
2.820186,12.940000,13.023616,5.270000,4.229550,13.065544,5.294223
2.840189,13.230000,13.108726,5.840000,3.971098,13.206470,5.831579
2.860190,13.120000,13.179069,4.910000,4.056749,13.252800,4.970446
2.880175,13.410000,13.263478,5.490000,3.757415,13.388251,5.528871
2.920192,13.570000,13.415549,6.190000,3.266361,13.610129,5.916839
2.940195,13.350000,13.473317,5.220000,3.318603,13.581019,4.539833
2.960191,13.340000,13.549882,5.720000,3.153443,13.563839,3.566752
2.980196,13.640000,13.599778,5.110000,3.012703,13.670458,4.324037
3.000194,13.660000,13.675941,5.030000,2.983279,13.739198,4.270930
3.020199,13.790000,13.729749,4.620000,3.066307,13.828783,4.580977
3.040195,13.800000,13.806582,5.130000,3.191390,13.887059,4.531223
3.060202,13.890000,13.862801,4.860000,3.332620,13.958125,4.517374
3.080198,13.890000,13.941118,4.820000,3.461068,14.002133,4.180745
3.100206,14.000000,13.997850,4.410000,3.525129,14.070306,4.199772
3.120201,14.000000,14.075316,4.400000,3.551531,14.111765,3.779638
3.140207,14.110000,14.122090,3.900000,3.431420,14.176598,3.762175
3.160203,14.110000,14.196117,3.820000,3.325287,14.214857,3.357114
3.180209,14.300000,14.246412,3.750000,2.905038,14.306373,3.742994
3.200205,14.310000,14.313685,3.620000,2.491170,14.364826,3.534792
3.220210,14.310000,14.351686,3.080000,2.137279,14.399738,3.085225
3.240212,14.620000,14.386553,4.360000,2.098029,14.533660,4.061664
3.260215,14.420000,14.420517,3.340000,1.714922,14.542474,3.152920
3.280215,14.620000,14.443060,3.690000,1.321896,14.621801,3.421299
3.300217,14.430000,14.471908,2.320000,1.011203,14.600403,2.299481
3.320219,14.620000,14.491197,2.620000,0.726592,14.655636,2.550188
3.340219,14.420000,14.525764,1.440000,0.749968,14.614301,1.485066
3.360219,14.610000,14.542884,1.820000,0.664006,14.656206,1.827837
3.380221,14.400000,14.573008,0.750000,0.809515,14.602063,0.816828
3.400224,14.700000,14.588337,1.820000,0.893189,14.675770,1.768282
3.420224,14.420000,14.623300,0.620000,1.309348,14.615776,0.680200
3.440224,14.730000,14.644547,1.720000,1.644282,14.690410,1.682465
3.460226,14.540000,14.691186,1.050000,2.165380,14.664825,1.050402
3.480227,14.740000,14.722824,1.720000,2.424932,14.721455,1.680993
3.500230,14.620000,14.771911,1.240000,3.068350,14.711491,1.195827
3.520231,14.800000,14.834577,1.770000,3.218920,14.770666,1.727524
3.540216,14.980000,14.899292,2.670000,3.674647,14.872584,2.598338
3.560228,14.980000,14.966304,2.790000,3.617860,14.936593,2.711370
3.580231,15.170000,15.040684,3.450000,3.962194,15.048294,3.424759
3.600235,14.980000,15.124150,2.270000,3.941786,15.050755,2.496810
3.620235,15.290000,15.198159,3.230000,4.062735,15.168741,3.424188
3.640239,15.190000,15.273417,2.840000,3.787869,15.207532,2.997395
3.660242,15.500000,15.345101,4.010000,3.878517,15.348127,4.033625
3.680240,15.310000,15.419432,3.060000,3.419662,15.368340,3.156667
3.700240,15.610000,15.489512,3.890000,3.526554,15.493899,3.926815
3.720245,15.420000,15.557675,2.810000,3.062977,15.503994,2.961811
3.740242,15.810000,15.620758,4.100000,3.035304,15.655422,4.131112
3.760247,15.610000,15.675307,3.120000,2.646545,15.677419,3.240481
3.780247,15.810000,15.734624,3.410000,2.821413,15.766563,3.513426
3.800248,15.710000,15.782409,2.640000,2.710692,15.785989,2.779612
3.820248,16.010000,15.851477,3.540000,2.781006,15.908589,3.590274
3.840249,15.810000,15.900403,2.490000,2.663613,15.911217,2.603422
3.880251,15.920000,16.007350,2.400000,2.655477,15.980276,2.181252
3.900255,16.120000,16.078719,2.890000,2.832423,16.073003,2.999520
3.920256,16.020000,16.124731,2.580000,2.951703,16.087100,2.639118
3.940256,16.300000,16.199975,3.690000,3.047452,16.207881,3.656061
3.960258,16.090000,16.252397,2.630000,3.266078,16.201004,2.700866
3.980261,16.390000,16.317030,3.410000,3.165150,16.313036,3.499417
4.000261,16.290000,16.359856,2.800000,3.231444,16.344179,2.981949
4.020258,16.590000,16.432031,3.800000,3.115891,16.476492,4.002073
4.040263,16.390000,16.483804,3.200000,3.086942,16.485414,3.402746
4.060264,16.680000,16.556987,4.540000,3.153792,16.603203,4.293648
4.080265,16.490000,16.608056,3.420000,3.103842,16.608907,3.362026
4.100268,16.800000,16.683272,4.160000,2.902159,16.729073,4.145121
4.120266,16.620000,16.741151,3.090000,2.840258,16.738083,3.239391
4.140271,17.020000,16.806474,4.400000,2.924144,16.892006,4.457053
4.160273,16.710000,16.851727,2.890000,2.793274,16.874065,3.054966
4.180271,17.000000,16.918062,3.470000,2.752520,16.970524,3.557281
