time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
0.000000,7.520000,7.516982,0.000000,-10.102870,7.520000,0.000000
0.026012,7.320000,7.382407,0.000000,-2.500462,7.417987,-0.677659
0.052015,7.320000,7.358227,0.000000,-0.614912,7.367748,-0.912095
0.078016,7.420000,7.349903,0.000000,0.757897,7.371980,-0.698561
0.104019,7.320000,7.386212,0.000000,0.679805,7.342043,-0.798360
0.130020,7.520000,7.404532,0.010000,0.606851,7.385432,-0.340419
0.156018,7.520000,7.429103,0.010000,0.996235,7.418767,-0.078202
0.182017,7.320000,7.435597,-0.010000,0.530560,7.382911,-0.314168
0.208020,7.530000,7.454081,0.010000,-0.099398,7.420786,0.039556
0.234023,7.520000,7.471157,0.000000,0.094510,7.447832,0.215737
0.260024,7.320000,7.459049,-0.010000,-0.137393,7.408955,-0.089023
0.286028,7.520000,7.457394,0.010000,-0.319751,7.439751,0.143440
0.312032,7.520000,7.458408,0.000000,0.389651,7.463772,0.268877
0.338031,7.320000,7.462000,-0.010000,0.204804,7.422673,-0.057328
0.364036,7.530000,7.461655,0.010000,-0.326817,7.453935,0.181656
0.390036,7.530000,7.457557,0.000000,0.262743,7.478207,0.316275
0.416034,7.330000,7.450996,-0.010000,-0.163224,7.437508,-0.004099
0.442036,7.530000,7.452185,0.000000,-0.551000,7.465742,0.203518
0.468038,7.530000,7.453067,0.000000,0.203601,7.487483,0.310265
0.494040,7.330000,7.446308,-0.010000,-0.099479,7.444705,-0.030622
0.520042,7.430000,7.464809,0.000000,-0.084245,7.441354,-0.015113
0.546047,7.530000,7.438550,0.010000,0.043683,7.468565,0.193380
0.572046,7.330000,7.437075,-0.010000,-0.065460,7.430306,-0.077279
0.598047,7.530000,7.459678,0.010000,0.048623,7.460241,0.169971
0.616416,7.530000,7.438284,0.000000,0.163899,7.481284,0.295219
0.644049,7.330000,7.441947,0.000000,0.018581,7.443154,0.009285
0.670048,7.530000,7.469214,0.010000,0.068202,7.470929,0.225450
0.696052,7.330000,7.452780,0.000000,-0.007355,7.433960,-0.038288
0.722052,7.530000,7.446344,0.010000,0.037984,7.463868,0.192792
0.748059,7.530000,7.477181,0.000000,0.323768,7.486876,0.319305
0.774058,7.330000,7.451218,-0.010000,0.186928,7.445433,-0.002812
