time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
0.000000,7.520000,7.516982,0.000000,-10.102870,7.520000,0.000000
0.026012,7.320000,7.382407,0.000000,-2.500462,7.398216,-1.983598
0.052015,7.320000,7.358227,0.000000,-0.614912,7.338226,-1.957718
0.078016,7.420000,7.349903,0.000000,0.757897,7.350529,-0.929732
0.104019,7.320000,7.386212,0.000000,0.679805,7.319274,-1.118370
0.130020,7.520000,7.404532,0.010000,0.606851,7.382057,0.226254
0.156018,7.520000,7.429103,0.010000,0.996235,7.426794,0.623156
0.182017,7.320000,7.435597,-0.010000,0.530560,7.378880,-0.493269
0.208020,7.530000,7.454081,0.010000,-0.099398,7.429438,0.485017
0.234023,7.520000,7.471157,0.000000,0.094510,7.461604,0.680960
0.260024,7.320000,7.459049,-0.010000,-0.137393,7.405585,-0.523385
0.286028,7.520000,7.457394,0.010000,-0.319751,7.446073,0.334498
0.312032,7.520000,7.458408,0.000000,0.389651,7.474237,0.567457
0.338031,7.320000,7.462000,-0.010000,0.204804,7.414899,-0.609907
0.364036,7.530000,7.461655,0.010000,-0.326817,7.457169,0.333013
0.390036,7.530000,7.457557,0.000000,0.262743,7.486202,0.599534
0.416034,7.330000,7.450996,-0.010000,-0.163224,7.427211,-0.571782
0.442036,7.530000,7.452185,0.000000,-0.551000,7.465934,0.301997
0.468038,7.530000,7.453067,0.000000,0.203601,7.492278,0.542487
0.494040,7.330000,7.446308,-0.010000,-0.099479,7.431191,-0.635012
0.520042,7.430000,7.464809,0.000000,-0.084245,7.429071,-0.331730
0.546047,7.530000,7.438550,0.010000,0.043683,7.467247,0.408932
0.572046,7.330000,7.437075,-0.010000,-0.065460,7.414432,-0.577851
0.598047,7.530000,7.459678,0.010000,0.048623,7.457608,0.366014
0.616416,7.530000,7.438284,0.000000,0.163899,7.483385,0.607410
0.644049,7.330000,7.441947,0.000000,0.018581,7.430918,-0.475012
0.670048,7.530000,7.469214,0.010000,0.068202,7.470253,0.394819
0.696052,7.330000,7.452780,0.000000,-0.007355,7.419541,-0.540342
0.722052,7.530000,7.446344,0.010000,0.037984,7.462666,0.398414
0.748059,7.530000,7.477181,0.000000,0.323768,7.491945,0.650518
0.774058,7.330000,7.451218,-0.010000,0.186928,7.432907,-0.533979
0.800061,7.530000,7.448917,0.000000,-0.104415,7.471223,0.330623
0.826065,7.530000,7.471087,0.000000,-0.161396,7.497060,0.567561
0.852066,7.330000,7.449277,-0.010000,-0.205292,7.435482,-0.613287
0.878069,7.530000,7.451538,0.000000,-0.506324,7.472326,0.264582
0.904064,7.530000,7.450182,0.000000,0.260622,7.497158,0.516187
0.930066,7.230000,7.445911,-0.020000,0.014853,7.395519,-1.234666
0.956066,7.530000,7.451006,0.010000,-0.250507,7.444923,0.135496
0.982068,7.530000,7.451275,0.000000,0.485258,7.478537,0.570654
1.008077,7.330000,7.448815,-0.010000,0.182810,7.422471,-0.541931
1.034078,7.530000,7.470019,0.000000,0.129902,7.463341,0.345537
1.060076,7.530000,7.461401,0.000000,0.372373,7.491009,0.586266
1.086080,7.330000,7.450749,-0.010000,-0.330137,7.430739,-0.594306
1.112080,7.520000,7.467255,0.000000,-0.646973,7.464708,0.230536
1.138082,7.520000,7.441003,0.000000,-0.193367,7.487783,0.470470
1.164079,7.330000,7.419957,-0.010000,-0.704348,7.428418,-0.630664
1.190080,7.520000,7.425726,0.000000,-0.719770,7.463102,0.212664
1.216084,7.320000,7.396646,-0.010000,-0.414761,7.407769,-0.718658
1.242086,7.320000,7.368075,0.000000,-0.835826,7.370344,-0.896640
1.268090,7.520000,7.372573,0.420000,-0.627477,7.424375,0.436098
1.294095,7.300000,7.351650,1.080000,0.026646,7.375564,-0.380848
1.320095,7.300000,7.353010,1.680000,0.311333,7.344228,-0.527673
1.346082,7.500000,7.386589,2.240000,0.855534,7.403454,0.820349
1.372096,7.290000,7.400502,2.830000,1.575204,7.362999,0.057973
1.398094,7.390000,7.449814,3.390000,1.817100,7.377310,0.480918
1.424097,7.670000,7.526870,3.830000,3.208732,7.499055,2.272172
1.450100,7.540000,7.613998,3.690000,4.483191,7.531046,1.836963
1.476103,7.720000,7.731234,3.790000,4.678511,7.623623,2.528111
1.502107,7.920000,7.884695,4.010000,6.077307,7.764242,3.610159
1.528105,7.930000,8.064340,4.030000,7.547217,7.861675,3.529658
1.554110,8.260000,8.222153,4.450000,6.841304,8.055087,4.954085
1.580110,8.570000,8.416830,5.090000,7.863647,8.304657,6.521054
1.606110,8.570000,8.629219,5.190000,8.951340,8.468600,6.098682
1.632109,8.860000,8.909783,5.650000,9.853913,8.687861,6.783830
1.658111,9.340000,9.169266,6.650000,10.636165,9.018572,8.846906
1.684111,9.330000,9.440691,6.950000,11.141575,9.230373,8.163042
1.702478,9.340000,9.678934,7.100000,12.063384,9.321929,6.893566
1.730119,10.250000,9.992939,7.950000,12.714642,9.761324,10.385803
1.756121,10.360000,10.304649,8.250000,12.909894,10.090821,10.666305
1.782123,10.770000,10.672529,8.800000,13.276726,10.464486,11.567587
1.808127,10.870000,11.011191,8.860000,13.496726,10.745770,10.729740
1.834125,11.370000,11.350901,9.490000,13.554610,11.118984,11.775269
1.860126,11.870000,11.750937,10.350000,13.495279,11.553877,13.274292
1.886125,11.870000,12.113808,10.270000,13.607208,11.832322,11.768312
1.912127,12.460000,12.426681,10.870000,14.398007,12.235681,12.949216
1.938127,12.960000,12.821074,11.610000,14.434197,12.687366,14.302536
1.964131,13.060000,13.191438,11.630000,14.320563,13.012931,13.161128
1.990138,13.560000,13.562291,11.990000,13.514029,13.409646,13.706960
2.016132,14.040000,13.904307,12.480000,13.348774,13.845793,14.600050
2.042136,14.110000,14.225110,12.220000,12.376715,14.146282,13.092679
2.068142,14.480000,14.518787,12.210000,10.138380,14.472785,12.750864
2.094141,14.970000,14.784467,12.330000,9.791400,14.863811,13.525070
2.120140,14.990000,15.011091,11.710000,8.521040,15.112760,11.816211
2.172142,15.430000,15.419344,11.470000,6.588448,15.619086,10.477274
2.198144,15.440000,15.554165,10.920000,5.340975,15.726401,8.463598
2.224134,15.640000,15.684704,10.800000,3.622753,15.863176,7.850948
2.250151,15.930000,15.769675,11.350000,3.117974,16.055507,8.207507
2.276153,15.740000,15.814976,10.410000,2.171663,16.086976,5.931949
2.302153,15.950000,15.865759,9.470000,0.856196,16.176485,5.505983
2.328156,15.970000,15.901228,8.410000,0.467788,16.228256,4.627962
2.354156,15.690000,15.887998,6.800000,-0.749932,16.136861,1.967972
2.380155,15.890000,15.864959,5.890000,-1.770337,16.140906,1.941158
2.406160,15.870000,15.809315,5.030000,-2.147694,16.123732,1.485559
2.432159,15.650000,15.718015,3.780000,-2.879494,16.014650,-0.217984
2.458160,15.750000,15.642274,3.010000,-3.865229,15.971169,-0.192361
2.484164,15.660000,15.549851,2.240000,-3.640601,15.898752,-0.708721
2.510166,15.270000,15.436484,0.990000,-4.444987,15.689941,-3.080254
2.536171,15.390000,15.334413,0.460000,-4.984641,15.591529,-2.709343
2.562172,15.200000,15.217035,-0.240000,-4.114746,15.447451,-3.308356
2.588175,15.000000,15.093382,-1.020000,-4.166152,15.269865,-4.182540
2.614172,15.090000,15.004187,-1.170000,-3.662592,15.185415,-3.303616
2.640174,14.980000,14.914312,-1.310000,-2.538844,15.086417,-3.151617
2.666172,14.680000,14.838562,-1.820000,-2.311111,14.903455,-4.301967
2.692171,14.890000,14.811447,-1.260000,-1.752640,14.866280,-2.757322
2.718175,14.810000,14.764186,-1.080000,-0.670394,14.813928,-2.260262
2.744183,14.610000,14.756625,-1.280000,-0.094328,14.703990,-2.883641
2.770186,14.900000,14.789442,-0.730000,1.153778,14.748311,-0.916268
2.796186,14.780000,14.818984,-0.630000,2.336226,14.735242,-0.801034
2.822189,14.770000,14.872710,-0.500000,2.627975,14.726107,-0.660270
2.848191,15.070000,14.964414,0.350000,3.125970,14.841482,1.364126
2.874189,14.980000,15.045401,1.090000,4.193203,14.887640,1.355642
2.900191,15.190000,15.141373,1.730000,4.033492,15.003959,2.427891
2.926191,15.390000,15.276168,2.350000,4.477280,15.162696,3.663007
2.952191,15.280000,15.403279,2.420000,5.515238,15.227066,2.901100
2.978195,15.470000,15.541238,2.560000,5.136736,15.344429,3.352755
3.004200,15.770000,15.689465,3.080000,5.448545,15.540126,4.772621
3.030199,15.770000,15.826283,3.220000,5.914522,15.669500,4.532593
3.056201,15.880000,15.964074,3.320000,5.193474,15.796306,4.416979
3.082199,16.290000,16.091779,3.920000,5.135804,16.038785,6.116181
3.108206,16.210000,16.198422,3.890000,4.303587,16.165573,5.279752
3.134203,16.220000,16.336389,3.680000,3.644076,16.248561,4.254508
3.160205,16.540000,16.424743,3.950000,3.159162,16.423765,5.136818
3.186203,16.440000,16.473582,3.720000,2.268637,16.495528,4.091608
3.204575,16.440000,16.529061,3.970000,1.711851,16.514816,3.242187
3.232198,16.630000,16.571227,4.260000,1.222763,16.617000,3.597471
3.258216,16.540000,16.566771,4.420000,0.672191,16.644073,2.773955
3.284216,16.760000,16.584404,4.910000,-0.378037,16.743176,3.435440
3.310205,16.470000,16.590554,4.230000,-0.641208,16.692727,1.510326
3.336218,16.470000,16.546294,3.850000,-1.077243,16.653517,0.798988
3.362220,16.650000,16.527628,4.460000,-1.740052,16.694477,1.631293
3.388221,16.420000,16.486507,4.220000,-1.987654,16.629328,0.369310
3.414219,16.320000,16.422443,3.370000,-2.086906,16.542938,-0.645112
3.440222,16.430000,16.347085,2.840000,-2.827956,16.525203,-0.210129
3.466224,16.350000,16.261825,2.200000,-2.974087,16.479465,-0.485668
3.492232,16.060000,16.162958,1.150000,-4.529159,16.332310,-2.197173
3.518233,16.170000,16.065198,0.640000,-4.390154,16.274725,-1.781878
3.544230,15.960000,15.959140,0.040000,-4.062978,16.152422,-2.526355
3.570234,15.760000,15.829511,-0.330000,-5.156884,15.991844,-3.545573
3.622234,15.570000,15.558322,-1.270000,-4.861702,15.746166,-3.923238
3.648235,15.360000,15.436946,-2.050000,-4.722470,15.559080,-4.731037
3.674233,15.550000,15.340135,-1.920000,-4.368259,15.525564,-3.038570
3.700239,15.150000,15.212357,-2.440000,-3.806587,15.338740,-4.418479
3.726243,14.950000,15.120331,-3.000000,-3.669143,15.139583,-5.365481
3.752248,15.150000,15.042853,-2.830000,-3.288133,15.093013,-3.666301
3.778247,14.850000,14.942039,-3.160000,-3.207333,14.947303,-4.303661
3.804251,14.960000,14.860750,-2.950000,-2.871713,14.899069,-3.200173
3.830252,14.870000,14.806829,-2.810000,-2.171535,14.837023,-2.859055
3.856252,14.660000,14.735992,-2.920000,-1.496544,14.718301,-3.523042
3.882250,14.750000,14.714038,-2.610000,-1.682837,14.679755,-2.659417
3.934251,14.550000,14.659927,-2.300000,-0.092042,14.548293,-2.472411
3.960255,14.750000,14.673431,-1.700000,0.249163,14.603306,-0.720412
3.986262,14.750000,14.693299,-1.270000,1.741706,14.638919,-0.041442
4.012263,14.640000,14.736091,-1.130000,2.081845,14.618914,-0.454795
4.038264,14.830000,14.793318,-0.600000,2.206083,14.686386,0.638680
4.064265,14.920000,14.870966,-0.020000,3.241152,14.769269,1.458489
4.090265,14.820000,14.957393,0.130000,3.177285,14.786295,0.943887
4.116267,15.120000,15.056687,0.810000,3.752634,14.917867,2.418528
4.142265,15.220000,15.146429,1.340000,4.311343,15.046261,3.145004
4.168256,15.120000,15.247183,1.490000,4.052056,15.092649,2.423842
4.194271,15.390000,15.368486,2.650000,4.016702,15.229972,3.478328
4.220275,15.580000,15.470802,3.640000,4.227466,15.396585,4.466834
4.246276,15.460000,15.555041,3.660000,3.475870,15.459672,3.440548
4.272278,15.760000,15.664207,3.920000,3.214911,15.617189,4.356656
4.298281,15.680000,15.741222,3.630000,3.356882,15.688055,3.540967
4.324281,15.790000,15.810372,3.620000,2.600622,15.774484,3.490897
4.350283,15.990000,15.896783,4.510000,2.231852,15.907759,4.231199
4.376284,15.890000,15.945827,4.800000,2.298652,15.954638,3.292342
4.402284,15.890000,15.985844,4.440000,1.815997,15.981618,2.513230
4.428287,16.200000,16.046562,4.490000,1.373740,16.117013,3.711163
4.454285,16.010000,16.066197,3.940000,1.216749,16.128423,2.438090
4.480290,16.020000,16.084572,3.430000,0.242140,16.134532,1.709203
