cost,rmse,lag_ms,quiet_rms,acc_gain,acc_alpha,q_z,q_vz,r_z,vel_obs,vel_alpha,r_vz
3.5065703146753977,1.8326049826737567,78.00600000000007,1.4396438057189729,0.1,0.22,15.0,600.0,12.5,1,0.55,150.0
3.508682334218145,1.8332427690013264,78.00600000000007,1.4438559006194782,0.1,0.35,15.0,600.0,12.5,1,0.55,150.0
3.512074840600886,1.8397681082240867,78.00600000000007,1.4349049496479944,0.1,0.12,15.0,600.0,12.5,1,0.55,150.0
3.513738883783832,1.8396538775299314,78.00600000000007,1.439985732153999,0.1,0.22,40.0,600.0,12.5,1,0.55,150.0
3.514811777465206,1.826309219136549,78.00600000000007,1.4811787380818744,0.2,0.22,15.0,600.0,12.5,1,0.55,150.0
3.5158229377328016,1.8402689182395746,78.00600000000007,1.4441829128377892,0.1,0.35,40.0,600.0,12.5,1,0.55,150.0
3.518064793110133,1.8345684135945632,78.00600000000007,1.4668753700444834,0.2,0.12,15.0,600.0,12.5,1,0.55,150.0
3.5193050735467484,1.8468754925568407,78.00600000000007,1.4352559456854481,0.1,0.12,40.0,600.0,12.5,1,0.55,150.0
3.5212085884203757,1.8493662186017472,78.00600000000007,1.4335781994817924,0.1,0.08,15.0,600.0,12.5,1,0.55,150.0
3.5214187997926896,1.8463945739835403,78.00600000000007,1.4426692165975659,0.1,0.22,80.0,600.0,12.5,1,0.55,150.0
3.5222636656991204,1.8334475529465135,78.00600000000007,1.4820746078645881,0.2,0.22,40.0,600.0,12.5,1,0.55,150.0
3.523481899826504,1.8469938056059236,78.00600000000007,1.4468516977730834,0.1,0.35,80.0,600.0,12.5,1,0.55,150.0
3.523844704543343,1.8481141952047093,78.00600000000007,1.4446871695389512,0.1,0.22,40.0,600.0,25.0,1,0.55,150.0
3.524495647521511,1.847774916193781,78.00600000000007,1.4475163752220825,0.1,0.22,15.0,600.0,25.0,1,0.55,150.0
3.525702301187377,1.8418772955719125,78.00600000000007,1.4678143017584684,0.2,0.12,40.0,600.0,12.5,1,0.55,150.0
3.5259176565503636,1.8487182670208768,78.00600000000007,1.4488839700842453,0.1,0.35,40.0,600.0,25.0,1,0.55,150.0
3.526464857584972,1.832688242334564,78.00600000000007,1.4962474721440202,0.2,0.35,15.0,600.0,12.5,1,0.55,150.0
3.5265645002501973,1.8483780423452119,78.00600000000007,1.4517041654428127,0.1,0.35,15.0,600.0,25.0,1,0.55,150.0
3.5268308724923676,1.8509498504286002,78.00600000000007,1.4451172058964743,0.1,0.22,80.0,600.0,25.0,1,0.55,150.0
3.5270333489092103,1.853660371584532,78.00600000000007,1.4379513637847936,0.1,0.12,80.0,600.0,12.5,1,0.55,150.0
3.5285285458798104,1.856551051998758,78.00600000000007,1.4339642682315765,0.1,0.08,40.0,600.0,12.5,1,0.55,150.0
