cost,pos_rmse,vel_rmse,lag_x_ms,lag_y_ms,quiet_vel_rms,closure_cm,used_rate,reject_rate,q_pos,q_vel,r_vel,vel_gate
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,1.0,350.0,300.0,90.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,1.0,350.0,300.0,140.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,1.0,350.0,300.0,180.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,1.0,350.0,300.0,240.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,3.0,350.0,300.0,90.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,3.0,350.0,300.0,140.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,3.0,350.0,300.0,180.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,3.0,350.0,300.0,240.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,5.0,350.0,300.0,90.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,5.0,350.0,300.0,140.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,5.0,350.0,300.0,180.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,5.0,350.0,300.0,240.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,10.0,350.0,300.0,90.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,10.0,350.0,300.0,140.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,10.0,350.0,300.0,180.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,10.0,350.0,300.0,240.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,20.0,350.0,300.0,90.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,20.0,350.0,300.0,140.0
7.569900726227274,2.7005782326225507,3.728700443848537,80.00799999999941,100.00999999999927,2.7189067892075327,25.973963531267568,0.9568733153638814,0.0,20.0,350.0,300.0,180.0
