time_s,flow_x_cm,flow_y_cm,flow_vx_cm_s,flow_vy_cm_s,obs_vx_cm_s,obs_vy_cm_s,logged_ekf_x_cm,logged_ekf_y_cm,logged_ekf_vx_cm_s,logged_ekf_vy_cm_s,replay_x_cm,replay_y_cm,replay_vx_cm_s,replay_vy_cm_s,replay_used,replay_rejected,replay_innov_x_cm_s,replay_innov_y_cm_s
0.480034,-74.320000,-79.880000,-0.100000,15.100000,-0.100000,15.300000,-66.620000,-123.110000,-0.200000,15.900000,-74.689797,-80.708684,-0.201099,15.326642,1.000000,0.000000,0.117856,-0.031058
0.500033,-74.320000,-79.570000,-0.100000,15.100000,-0.100000,15.100000,-66.630000,-122.800000,-0.200000,15.800000,-74.693818,-80.402166,-0.186742,15.294457,1.000000,0.000000,0.101099,-0.226642
0.520034,-74.330000,-79.180000,-0.100000,16.400000,-0.100000,19.500000,-66.630000,-122.480000,-0.200000,16.300000,-74.697553,-80.096262,-0.174434,15.891159,1.000000,0.000000,0.086742,4.205543
0.540034,-74.330000,-78.820000,-0.100000,16.900000,-0.100000,18.200000,-66.640000,-122.150000,-0.200000,16.600000,-74.701042,-79.778438,-0.163880,16.218533,1.000000,0.000000,0.074434,2.308841
0.560037,-74.330000,-78.440000,-0.100000,17.500000,-0.100000,18.700000,-66.640000,-121.820000,-0.200000,16.900000,-74.704320,-79.454019,-0.154827,16.570220,1.000000,0.000000,0.063880,2.481467
0.580039,-74.330000,-78.100000,-0.100000,17.400000,-0.100000,17.200000,-66.650000,-121.480000,-0.200000,16.900000,-74.707417,-79.122582,-0.147059,16.659444,1.000000,0.000000,0.054827,0.629780
0.620040,-74.340000,-77.600000,-0.100000,14.700000,0.000000,10.400000,-66.660000,-120.810000,-0.100000,15.700000,-74.713299,-78.456187,-0.123751,15.667369,1.000000,0.000000,0.147059,-6.259444
4.640293,-54.530000,-75.980000,-6.200000,-3.200000,-11.600000,0.300000,-45.470000,-116.190000,-3.800000,-4.400000,-74.725675,-76.889450,-2.600145,12.351332,1.000000,0.000000,-11.476249,-15.367369
0.660045,-74.340000,-77.070000,0.000000,14.300000,-0.100000,17.300000,-66.660000,-120.200000,-0.100000,15.100000,-74.738675,-76.827694,-2.146586,13.249086,1.000000,0.000000,2.500145,4.948668
0.680046,-74.340000,-76.560000,-0.100000,17.600000,-0.100000,25.400000,-66.670000,-119.890000,-0.100000,16.600000,-74.781609,-76.562699,-1.798767,15.314143,1.000000,0.000000,2.046586,12.150914
0.700044,-74.350000,-75.970000,-0.100000,21.100000,-0.100000,29.300000,-66.670000,-119.560000,-0.100000,18.400000,-74.817581,-76.256446,-1.523609,17.579501,1.000000,0.000000,1.698767,13.985857
0.720048,-74.350000,-75.390000,-0.100000,23.500000,-0.100000,28.900000,-66.670000,-119.190000,-0.100000,19.900000,-74.848059,-75.904786,-1.301041,19.349358,1.000000,0.000000,1.423609,11.320499
0.740050,-74.350000,-75.050000,-0.100000,21.500000,0.000000,17.000000,-66.670000,-118.790000,-0.100000,19.500000,-74.874083,-75.517760,-1.102879,18.991527,1.000000,0.000000,1.301041,-2.349358
0.760049,-74.350000,-75.050000,0.000000,15.000000,0.000000,0.000000,-66.680000,-118.400000,-0.100000,19.500000,-74.896139,-75.137949,-1.102879,18.991527,0.000000,0.000000,1.102879,-18.991527
0.780051,-74.350000,-74.930000,0.000000,12.400000,0.000000,6.400000,-66.680000,-118.010000,-0.100000,17.400000,-74.918199,-74.758080,-0.919850,16.901885,1.000000,0.000000,1.102879,-12.591527
0.800054,-74.150000,-74.530000,3.000000,14.600000,10.400000,19.700000,-66.680000,-117.670000,1.400000,17.700000,-74.936599,-74.419992,0.881867,17.347245,1.000000,0.000000,11.319850,2.798115
0.840055,-74.150000,-74.030000,1.400000,14.000000,0.000000,18.900000,-66.630000,-116.990000,1.000000,16.400000,-74.901323,-73.726085,0.731335,17.612296,1.000000,0.000000,-0.881867,1.552755
0.860055,-74.150000,-73.470000,1.000000,18.400000,-0.100000,28.400000,-66.610000,-116.660000,0.800000,18.100000,-74.886696,-73.373839,0.596243,19.365303,1.000000,0.000000,-0.831335,10.787704
0.880057,-74.150000,-72.780000,0.600000,23.100000,-0.100000,34.200000,-66.590000,-116.300000,0.700000,20.500000,-74.874770,-72.986494,0.487132,21.690096,1.000000,0.000000,-0.696243,14.834697
0.900059,-74.150000,-72.060000,0.400000,27.000000,-0.100000,36.100000,-66.570000,-115.890000,0.600000,22.700000,-74.865027,-72.552649,0.397549,23.888722,1.000000,0.000000,-0.587132,14.409904
