LOC_LOG_BEGIN
_us,dt_ms,armed,phase,voltage,loc_ready,loc_hold,loc_weight,yaw_deg,pos_err_x_e,pos_err_y_e,vel_x_e,vel_y_e,vel_tgt_x_e,vel_tgt_y_e,vel_err_x_b,vel_err_y_b,loc_raw_roll,loc_raw_pitch,loc_trim_roll,loc_trim_pitch,loc_ramped_roll,loc_ramped_pitch,loc_vel_p_x,loc_vel_i_x,loc_vel_d_x,loc_vel_p_y,loc_vel_i_y,loc_vel_d_y,roll_tgt,roll_cur,pitch_tgt,pitch_cur,sp_rate_ff_roll,sp_rate_ff_pitch,rate_tgt_r,rate_fb_r,rate_out_r,rate_p_r,rate_i_r,rate_d_r,rate_tgt_p,rate_fb_p,rate_out_p,imu_acc_body_y_m_s2,flow_obs_vx_e,flow_obs_vy_e,ekf_vx_e,ekf_vy_e,flow_valid,flow_obs_valid,flow_ekf_used,flow_gate_clipped,throttle,height_cm,vel_z_cm_s,m1,m2,m3,m4,att_voltage_scale,goal_pos_x_e,goal_pos_y_e,profile_pos_x_e,profile_pos_y_e,profile_vel_x_e,profile_vel_y_e
97,33455406,20.00,1,3,10.17,1,1,1.00,-5.78,13.20,-132.85,-8.59,20.95,0.79,-8.60,12.34,-27.83,-3.64,-1.92,0.00,0.00,-3.64,-1.92,1.62,0.26,-0.06,-2.51,-0.45,-0.29,-3.64,-1.30,-1.92,-2.16,-1.39,1.25,-11.88,-9.03,0.43,-0.56,0.19,0.80,2.01,-10.51,1.81,0.5114,1.45,14.34,-8.59,20.95,1,1,1,0,39.12,105.04,-4.91,5888,6631,6267,5296,1.004,0.00,0.00,-9.24,93.04,0.00,0.00
98,33475413,20.01,1,3,10.17,1,1,1.00,-5.80,13.37,-133.26,-7.26,20.08,0.80,-8.60,11.19,-27.46,-3.51,-1.65,0.00,0.00,-3.51,-1.65,1.47,0.26,-0.14,-2.48,-0.45,-0.21,-3.51,-1.49,-1.65,-2.32,-0.07,2.45,-9.16,-14.12,1.16,0.28,0.19,0.68,4.63,-7.62,0.88,0.7003,7.97,10.07,-7.26,20.08,1,1,1,0,38.68,105.04,-2.55,5914,6419,6492,5376,1.004,0.00,0.00,-9.38,93.46,0.00,0.00
99,33495416,20.00,1,3,10.17,1,1,1.00,-5.82,13.52,-133.67,-6.46,18.16,0.81,-8.60,10.14,-26.21,-3.22,-1.44,0.00,0.00,-3.22,-1.44,1.33,0.26,-0.19,-2.37,-0.45,-0.09,-3.22,-1.69,-1.44,-2.36,1.70,2.80,-4.98,-11.76,0.21,0.32,0.20,-0.31,6.45,-0.04,-0.29,0.6650,2.75,-3.87,-6.46,18.16,1,1,1,0,38.65,104.92,-2.49,5608,6300,6432,5627,1.004,0.00,0.00,-9.49,93.87,0.00,0.00
100,33515418,20.00,1,3,10.17,1,1,1.00,-5.82,13.64,-134.03,-7.44,19.96,0.81,-8.60,10.42,-26.73,-3.33,-1.57,0.00,0.00,-3.33,-1.57,1.37,0.26,-0.13,-2.41,-0.45,-0.11,-3.33,-1.80,-1.57,-2.26,0.41,1.01,-6.28,-4.48,-0.39,-0.06,0.20,-0.52,3.35,5.43,-0.27,0.3881,-18.72,40.69,-7.44,19.96,1,1,1,0,38.29,104.97,-0.55,5505,6402,6370,5679,1.004,0.00,0.00,-9.59,94.24,0.00,0.00
101,33535424,20.01,1,3,10.18,1,1,1.00,-5.85,13.79,-134.43,-6.39,22.44,0.82,-8.59,10.07,-28.47,-3.66,-1.50,0.00,0.00,-3.66,-1.50,1.32,0.26,-0.13,-2.57,-0.45,-0.19,-3.66,-1.78,-1.50,-2.15,-1.73,1.08,-10.13,4.42,-2.24,-1.33,0.19,-1.09,3.21,6.78,-0.80,0.0451,5.76,56.17,-6.39,22.44,1,1,1,1,38.37,104.88,-1.10,5119,6550,6172,5920,1.004,0.00,0.00,-9.71,94.64,0.00,0.00
102,33555423,20.00,1,3,10.18,1,1,1.00,-5.87,13.92,-134.88,-5.46,24.75,0.83,-8.59,9.53,-30.60,-4.02,-1.39,0.00,0.00,-4.02,-1.39,1.25,0.26,-0.15,-2.76,-0.46,-0.29,-4.02,-1.72,-1.39,-2.08,-2.80,1.35,-13.15,6.84,-2.61,-2.12,0.19,-0.67,3.66,4.65,-0.27,-0.0801,5.30,51.50,-5.46,24.75,1,1,1,0,38.12,104.90,0.24,5136,6695,6076,5895,1.004,0.00,0.00,-9.81,95.09,0.00,0.00
103,33575424,20.00,1,3,10.18,1,1,1.00,-5.88,14.03,-135.37,-6.93,22.98,0.83,-8.59,10.08,-30.31,-3.86,-1.58,0.00,0.00,-3.86,-1.58,1.32,0.26,-0.07,-2.74,-0.46,-0.21,-3.86,-1.64,-1.58,-2.06,-0.85,-0.25,-10.94,4.22,-1.66,-2.17,0.18,0.34,1.29,0.58,0.62,0.9376,-23.99,2.47,-6.93,22.98,1,1,1,0,38.00,104.88,0.90,5434,6566,5963,5708,1.003,0.00,0.00,-9.91,95.59,0.00,0.00
104,33595429,20.00,1,3,10.18,1,1,1.00,-5.89,14.17,-135.83,-5.12,21.04,0.83,-8.59,9.11,-29.14,-3.59,-1.33,0.00,0.00,-3.59,-1.33,1.19,0.26,-0.13,-2.63,-0.46,-0.10,-3.59,-1.69,-1.33,-2.05,1.11,1.35,-7.40,-10.64,2.08,-0.04,0.17,1.94,3.81,-1.11,0.40,0.8782,15.92,-1.64,-5.12,21.04,1,1,1,0,37.78,104.92,2.10,5831,6079,6522,5176,1.003,0.00,0.00,-10.02,96.05,0.00,0.00
105,33615431,20.00,1,3,10.18,1,1,1.00,-5.91,14.27,-136.25,-4.91,18.57,0.84,-8.59,8.45,-27.21,-3.21,-1.21,0.00,0.00,-3.21,-1.21,1.11,0.26,-0.16,-2.46,-0.46,0.04,-3.21,-1.94,-1.21,-2.09,2.80,1.60,-2.58,-18.00,2.38,1.32,0.18,0.87,4.94,-4.76,1.43,0.6879,-2.36,-22.80,-4.91,18.57,1,1,1,1,37.91,104.87,1.40,5971,6152,6402,4966,1.003,0.00,0.00,-10.10,96.47,0.00,0.00
106,33635435,20.00,1,3,10.18,1,1,1.00,-5.92,14.37,-136.62,-4.43,18.01,0.84,-8.59,7.87,-26.13,-3.04,-1.12,0.00,0.00,-3.04,-1.12,1.03,0.26,-0.17,-2.36,-0.47,0.10,-3.04,-2.18,-1.12,-2.15,2.80,1.58,-0.44,-12.43,0.80,1.23,0.18,-0.62,5.78,-5.38,1.38,0.0543,1.19,11.46,-4.43,18.01,1,1,1,0,37.74,104.96,2.43,5798,6347,6193,5223,1.003,0.00,0.00,-10.19,96.84,0.00,0.00
