HEIGHT_LOG_BEGIN,count=400,fs=50
seq,time_us,tof_cm,height_cm,ekf_z_cm,ekf_vz_cm_s,acc_raw_cm_s2,acc_corrected_cm_s2,acc_lpf_cm_s2,acc_ekf_cm_s2,tof_diff_cm_s,innov_cm,throttle,target_vz_cm_s,tof_used,armed,final_height_cm,profile_height_cm,profile_vz_cm_s,position_correction_cm_s,profile_accel_cm_s2
294,90404006,20.8,20.73,20.55,6.38,32.1,32.6,32.3,6.4,7.54,0.29,32.55,10.00,1,1,70.00,21.52,10.00,0.34,0.0
295,90424007,20.7,20.66,20.65,5.95,3.9,4.5,17.5,3.5,5.26,-0.02,32.63,10.00,1,1,70.00,21.72,10.00,0.38,0.0
296,90444008,21.1,21.07,20.87,7.22,-9.0,-8.4,-8.0,-1.6,8.32,0.30,32.43,10.00,1,1,70.00,21.92,9.99,0.37,0.0
297,90464009,21.0,20.97,20.97,6.56,202.5,203.1,99.3,19.8,5.65,-0.05,32.55,10.00,1,1,70.00,22.12,10.00,0.41,0.0
298,90484009,21.4,21.34,21.18,7.86,-4.6,-4.0,60.7,12.1,8.28,0.23,32.34,10.00,1,1,70.00,22.32,10.00,0.40,0.0
299,90504014,21.4,21.31,21.30,7.28,-14.7,-14.1,-6.0,-1.2,6.32,-0.02,32.45,10.00,1,1,70.00,22.52,9.99,0.43,0.0
300,90524013,21.8,21.69,21.53,8.18,-30.9,-30.3,-21.1,-4.2,8.87,0.24,32.31,10.00,1,1,70.00,22.72,9.99,0.42,0.0
301,90544014,21.8,21.69,21.67,7.63,-8.0,-7.4,-17.9,-3.5,7.06,0.00,32.41,10.00,1,1,70.00,22.92,9.99,0.44,0.0
302,90564015,22.1,22.00,21.88,8.22,-4.2,-3.6,-7.9,-1.5,8.77,0.18,32.32,10.00,1,1,70.00,23.12,10.00,0.44,0.0
303,90584017,22.1,22.02,22.01,7.70,-3.6,-3.0,-9.7,-1.9,7.21,-0.01,32.42,10.00,1,1,70.00,23.32,10.00,0.46,0.0
304,90604017,22.5,22.44,22.26,8.81,-3.4,-2.9,0.5,0.1,9.92,0.27,32.24,10.00,1,1,70.00,23.52,9.99,0.45,0.0
305,90624020,22.4,22.34,22.38,7.87,-9.1,-8.5,-6.6,-1.3,6.97,-0.09,32.42,10.00,1,1,70.00,23.72,9.99,0.48,0.0
306,90644020,22.8,22.73,22.60,8.66,-19.0,-18.4,-11.9,-2.3,9.48,0.19,32.30,10.00,1,1,70.00,23.92,10.00,0.47,0.0
307,90664022,22.7,22.61,22.69,7.46,-19.8,-19.2,-17.8,-3.5,6.40,-0.16,32.52,10.00,1,1,70.00,24.12,10.00,0.51,0.0
308,90684023,23.1,23.00,22.90,8.10,-45.1,-44.5,-36.0,-7.2,8.93,0.15,32.42,10.00,1,1,70.00,24.32,9.99,0.50,0.0
309,90704026,23.1,22.98,23.02,7.36,-42.6,-42.0,-40.9,-8.1,6.99,-0.08,32.57,10.00,1,1,70.00,24.52,10.00,0.53,0.0
310,90724021,23.1,22.98,23.17,7.22,-19.5,-18.9,-29.2,-5.8,5.56,-0.08,32.00,10.00,1,1,70.00,24.72,10.00,0.78,0.0
311,90744025,23.3,23.19,23.27,6.69,-18.0,-17.4,-16.5,-3.3,6.56,-0.12,32.71,10.00,1,1,70.00,24.92,10.00,0.59,0.0
312,90764025,23.3,23.20,23.40,6.64,2.7,3.3,-4.0,-0.8,5.37,-0.12,32.19,10.00,1,1,70.00,25.12,9.99,0.84,0.0
313,90784031,23.5,23.43,23.50,6.36,-6.8,-6.2,-10.2,-2.0,6.56,-0.10,32.79,10.00,1,1,70.00,25.32,9.99,0.65,0.0
314,90804026,23.5,23.43,23.63,6.34,-7.9,-7.4,-5.1,-1.0,5.29,-0.10,31.81,10.00,1,1,70.00,25.51,9.63,0.89,-18.4
315,90824031,23.7,23.61,23.71,5.99,-14.4,-13.8,-13.1,-2.6,6.05,-0.14,32.81,10.00,1,1,70.00,25.71,10.00,0.71,18.4
316,90844028,23.7,23.60,23.83,5.90,-45.4,-44.8,-37.1,-7.4,4.67,-0.14,31.81,1.63,1,1,70.00,25.72,0.73,0.89,-20.0
317,90864036,23.9,23.75,23.89,5.35,-39.9,-39.3,-39.2,-7.8,5.31,-0.19,32.32,1.80,1,1,70.00,25.75,1.13,0.66,20.0
318,90884032,23.9,23.74,24.00,5.19,-47.0,-46.4,-42.6,-8.5,4.11,-0.19,32.20,2.38,1,1,70.00,25.78,1.53,0.85,19.9
319,90904037,24.1,23.93,24.05,4.82,-17.9,-17.3,-29.6,-5.9,5.13,-0.17,32.54,2.56,1,1,70.00,25.82,1.93,0.63,20.0
320,90924032,24.1,23.93,24.15,4.70,-35.4,-34.8,-32.8,-6.5,4.10,-0.17,32.53,3.14,1,1,70.00,25.86,2.33,0.81,19.9
321,90944039,24.3,24.13,24.23,4.62,-21.9,-21.3,-23.8,-4.7,5.37,-0.10,32.70,3.34,1,1,70.00,25.92,2.73,0.60,19.9
322,90964037,24.3,24.14,24.32,4.55,0.2,0.8,-7.6,-1.5,4.35,-0.10,32.82,3.92,1,1,70.00,25.98,3.13,0.78,20.0
323,90984041,24.3,24.15,24.33,3.99,6.4,7.0,5.6,1.1,3.54,-0.26,32.95,4.15,1,1,70.00,26.05,3.53,0.62,20.0
324,91004043,24.5,24.34,24.43,4.52,5.2,5.8,5.4,1.0,4.79,-0.06,32.92,4.54,1,1,70.00,26.13,3.93,0.61,20.0
325,91024044,24.4,24.23,24.42,3.56,2.1,2.7,4.9,0.9,2.72,-0.29,33.16,4.98,1,1,70.00,26.22,4.33,0.64,19.9
326,91044047,24.5,24.32,24.45,3.32,-0.6,0.0,3.6,0.7,3.04,-0.16,33.28,5.40,1,1,70.00,26.31,4.73,0.67,20.0
327,91064047,24.4,24.21,24.41,2.29,11.0,11.6,-1.8,-0.3,1.36,-0.30,33.53,5.85,1,1,70.00,26.41,5.13,0.72,19.9
328,91084048,24.6,24.41,24.48,2.72,0.7,1.3,0.7,0.1,3.08,-0.04,33.53,6.27,1,1,70.00,26.52,5.53,0.73,20.0
329,91104048,24.4,24.21,24.42,1.63,31.9,32.5,23.3,4.6,0.51,-0.31,33.80,6.73,1,1,70.00,26.64,5.93,0.79,19.9
330,91124051,24.6,24.43,24.48,2.20,17.8,18.4,21.4,4.2,2.53,-0.03,33.77,7.15,1,1,70.00,26.77,6.33,0.82,19.9
331,91144053,24.4,24.24,24.43,1.27,21.4,22.0,19.3,3.8,0.15,-0.28,34.01,7.62,1,1,70.00,26.90,6.73,0.88,19.9
332,91164054,24.6,24.44,24.49,1.86,21.8,22.4,21.6,4.3,2.17,-0.01,33.01,4.99,1,1,70.00,26.99,4.09,0.89,-20.0
333,91184054,24.5,24.34,24.47,1.41,27.8,28.4,19.1,3.8,0.73,-0.17,32.01,0.21,1,1,70.00,26.97,-0.68,0.89,-20.0
334,91204058,24.7,24.53,24.54,2.10,13.9,14.5,21.4,4.2,2.49,0.03,32.86,0.59,1,1,70.00,26.97,-0.28,0.87,20.0
335,91224059,24.6,24.42,24.53,1.55,-13.1,-12.5,-1.8,-0.3,0.81,-0.16,33.03,0.99,1,1,70.00,26.97,0.11,0.87,19.9
336,91244059,24.9,24.70,24.63,2.55,-20.4,-19.8,-18.0,-3.6,3.46,0.13,32.92,1.36,1,1,70.00,26.98,0.51,0.84,19.9
337,91264062,24.7,24.49,24.61,1.58,-7.2,-6.6,-10.4,-2.0,0.67,-0.19,33.16,1.77,1,1,70.00,27.00,0.91,0.85,19.9
338,91284059,25.0,24.79,24.71,2.55,-7.8,-7.2,-5.6,-1.1,3.51,0.14,33.05,2.15,1,1,70.00,27.02,1.31,0.83,19.9
339,91304063,25.1,24.89,24.82,3.15,-18.5,-17.9,-12.9,-2.5,3.84,0.12,33.01,2.52,1,1,70.00,27.06,1.71,0.80,19.9
340,91324061,25.1,24.89,24.88,3.10,-4.6,-4.0,-7.1,-1.4,3.09,0.12,32.82,3.00,1,1,70.00,27.10,2.11,0.88,19.9
341,91344066,25.2,24.99,24.96,3.31,-5.5,-4.9,-4.3,-0.8,3.51,0.05,33.11,3.30,1,1,70.00,27.15,2.51,0.78,19.9
342,91364066,25.1,24.90,24.96,2.46,-23.1,-22.5,-12.1,-2.4,1.83,-0.13,33.33,3.72,1,1,70.00,27.21,2.91,0.80,19.9
343,91384069,25.3,25.09,25.05,2.92,-11.6,-11.0,-13.0,-2.6,3.44,0.08,33.32,4.12,1,1,70.00,27.28,3.31,0.80,19.9
344,91404068,25.2,24.99,25.06,2.24,-1.9,-1.3,-3.4,-0.6,1.72,-0.11,33.51,4.54,1,1,70.00,27.35,3.71,0.82,20.0
345,91424071,25.4,25.19,25.14,2.77,1.9,2.5,-0.9,-0.1,3.35,0.08,33.49,4.94,1,1,70.00,27.43,4.11,0.82,20.0
346,91444072,25.3,25.09,25.15,2.20,8.3,8.9,12.6,2.5,1.65,-0.11,33.66,5.37,1,1,70.00,27.52,4.51,0.85,19.9
347,91464071,25.5,25.28,25.24,2.77,-5.8,-5.2,0.4,0.0,3.29,0.08,33.63,5.77,1,1,70.00,27.62,4.91,0.85,19.9
348,91484074,25.3,25.09,25.21,1.69,8.5,9.1,3.2,0.6,0.65,-0.20,32.74,5.14,1,1,70.00,27.71,4.24,0.89,-20.0
349,91504075,25.5,25.29,25.27,2.20,47.7,48.3,29.6,5.9,2.58,0.05,32.52,4.21,1,1,70.00,27.77,3.31,0.89,-20.0
350,91524077,25.4,25.20,25.27,1.77,-1.2,-0.6,13.5,2.7,1.14,-0.11,32.13,0.94,1,1,70.00,27.77,0.04,0.89,-20.0
351,91544076,25.7,25.51,25.40,2.93,-8.0,-7.4,-5.3,-1.0,3.99,0.19,32.98,1.30,1,1,70.00,27.78,0.44,0.85,20.0
352,91564081,25.5,25.31,25.39,2.07,1.8,2.4,-8.4,-1.6,1.25,-0.14,33.21,1.71,1,1,70.00,27.80,0.84,0.86,20.0
353,91584077,25.8,25.62,25.51,3.07,-8.0,-7.4,-2.7,-0.5,4.04,0.18,33.09,2.08,1,1,70.00,27.82,1.24,0.83,19.9
354,91604081,25.5,25.32,25.46,1.64,-9.6,-9.0,-5.7,-1.1,0.26,-0.25,33.42,2.50,1,1,70.00,27.86,1.64,0.86,20.0
355,91624081,25.8,25.62,25.56,2.43,-2.3,-1.7,-4.7,-0.9,3.22,0.12,33.34,2.89,1,1,70.00,27.90,2.04,0.84,20.0
356,91644087,25.6,25.42,25.53,1.50,10.7,11.3,4.5,0.9,0.59,-0.18,33.58,3.31,1,1,70.00,27.95,2.44,0.86,20.0
357,91664086,25.9,25.73,25.64,2.54,7.1,7.7,7.5,1.5,3.50,0.16,33.46,3.69,1,1,70.00,28.00,2.84,0.85,20.0
358,91684085,25.7,25.53,25.62,1.74,12.1,12.7,12.1,2.4,0.87,-0.15,33.68,4.12,1,1,70.00,28.07,3.24,0.88,19.9
359,91704090,26.0,25.85,25.74,2.87,51.5,52.1,34.7,6.9,3.83,0.18,33.55,4.51,1,1,70.00,28.14,3.64,0.86,20.0
360,91724090,25.8,25.66,25.74,2.18,19.2,19.7,28.3,5.6,1.23,-0.13,33.74,4.94,1,1,70.00,28.22,4.04,0.89,19.9
361,91744091,26.0,25.88,25.82,2.82,17.6,18.2,17.5,3.5,3.17,0.10,33.70,5.34,1,1,70.00,28.31,4.44,0.89,19.9
362,91764092,25.9,25.80,25.84,2.39,28.9,29.5,18.6,3.7,1.72,-0.08,32.70,2.51,1,1,70.00,28.34,1.61,0.89,-20.0
363,91784094,26.1,26.01,25.94,3.10,1.7,2.3,16.7,3.3,3.50,0.12,33.31,2.88,1,1,70.00,28.38,2.01,0.87,20.0
364,91804093,26.0,25.92,25.96,2.57,-6.7,-6.1,-4.6,-0.9,1.88,-0.08,33.47,3.29,1,1,70.00,28.43,2.41,0.88,19.9
365,91824096,26.2,26.13,26.06,3.15,1.8,2.4,-3.0,-0.6,3.61,0.11,33.43,3.68,1,1,70.00,28.49,2.81,0.87,20.0
366,91844094,26.1,26.04,26.09,2.60,-15.1,-14.6,-11.6,-2.3,2.02,-0.08,33.60,4.09,1,1,70.00,28.55,3.21,0.88,20.0
367,91864097,26.3,26.26,26.19,3.19,1.5,2.1,-3.4,-0.6,3.76,0.12,33.57,4.48,1,1,70.00,28.62,3.61,0.87,20.0
368,91884084,26.2,26.17,26.21,2.68,12.0,12.5,8.4,1.6,2.13,-0.07,33.73,4.90,1,1,70.00,28.71,4.00,0.89,19.9
369,91904099,26.4,26.38,26.31,3.43,76.1,76.7,86.8,17.3,3.76,0.10,33.66,5.30,1,1,70.00,28.79,4.41,0.89,19.9
370,91924100,26.3,26.27,26.33,2.92,-11.1,-10.5,15.5,3.1,1.95,-0.10,32.66,2.67,1,1,70.00,28.83,1.77,0.89,-20.0
371,91944101,26.6,26.57,26.46,3.86,10.9,11.5,6.2,1.2,4.53,0.18,33.27,3.04,1,1,70.00,28.87,2.17,0.86,19.9
372,91964101,26.5,26.47,26.50,3.33,-16.1,-15.5,-4.5,-0.9,2.62,-0.06,33.44,3.44,1,1,70.00,28.92,2.57,0.87,19.9
373,91984105,26.8,26.77,26.64,4.26,-12.1,-11.6,-10.6,-2.1,5.10,0.20,33.34,3.81,1,1,70.00,28.98,2.97,0.84,20.0
374,92004104,26.6,26.57,26.65,3.18,-8.7,-8.1,-8.3,-1.6,2.10,-0.15,33.60,4.23,1,1,70.00,29.05,3.37,0.86,20.0
375,92024105,26.9,26.88,26.78,3.98,-2.1,-1.6,-8.1,-1.6,4.76,0.16,33.52,4.62,1,1,70.00,29.13,3.77,0.84,19.9
376,92044109,26.8,26.79,26.82,3.43,5.1,5.7,-2.9,-0.5,2.93,-0.07,33.69,5.03,1,1,70.00,29.21,4.17,0.85,20.0
377,92064107,27.0,27.00,26.94,3.98,15.8,16.4,14.2,2.8,4.46,0.11,33.66,5.42,1,1,70.00,29.30,4.57,0.85,20.0
378,92084109,26.9,26.91,26.97,3.38,25.5,26.1,24.9,4.9,2.64,-0.10,33.84,5.85,1,1,70.00,29.40,4.97,0.87,19.9
379,92104112,27.2,27.21,27.11,4.36,3.5,4.0,13.1,2.6,5.11,0.17,33.74,6.24,1,1,70.00,29.51,5.37,0.86,20.0
380,92124112,27.1,27.11,27.15,3.76,10.6,11.2,10.1,2.0,3.03,-0.08,33.92,6.66,1,1,70.00,29.62,5.77,0.89,20.0
381,92144115,27.4,27.40,27.29,4.66,12.9,13.5,12.0,2.4,5.37,0.17,33.83,7.06,1,1,70.00,29.75,6.17,0.88,19.9
382,92164117,27.2,27.20,27.30,3.55,7.8,8.4,13.9,2.7,2.29,-0.18,32.83,3.40,1,1,70.00,29.80,2.50,0.89,-20.0
383,92184119,27.6,27.60,27.47,4.81,19.9,20.5,14.1,2.8,5.85,0.23,33.33,3.76,1,1,70.00,29.86,2.90,0.86,20.0
384,92204121,27.5,27.51,27.53,4.38,9.1,9.6,12.4,2.4,3.77,-0.05,33.47,4.16,1,1,70.00,29.92,3.30,0.86,19.9
385,92224118,27.8,27.82,27.69,5.34,13.0,13.6,14.2,2.8,6.11,0.20,33.37,4.53,1,1,70.00,30.00,3.70,0.82,19.9
386,92244121,27.7,27.73,27.75,4.73,11.3,11.9,11.7,2.3,3.96,-0.07,33.55,4.93,1,1,70.00,30.08,4.10,0.83,20.0
387,92264124,28.1,28.13,27.96,6.05,1.7,2.3,5.0,1.0,7.20,0.28,33.37,5.29,1,1,70.00,30.17,4.50,0.79,20.0
388,92284122,28.1,28.14,28.08,5.96,-4.0,-3.4,1.3,0.2,5.81,0.05,33.46,5.68,1,1,70.00,30.27,4.90,0.78,20.0
389,92304119,28.1,28.14,28.20,5.99,35.3,35.9,21.8,4.3,4.68,0.05,32.46,0.78,1,1,70.00,30.26,-0.11,0.89,-20.0
390,92324127,28.3,28.34,28.31,5.91,-4.2,-3.6,8.0,1.6,5.80,0.02,32.78,0.99,1,1,70.00,30.27,0.28,0.70,19.9
391,92344123,28.3,28.35,28.43,5.91,-12.5,-11.9,-6.5,-1.3,4.66,0.02,32.37,1.51,1,1,70.00,30.28,0.68,0.83,19.9
392,92364130,28.6,28.65,28.57,6.03,-4.6,-4.0,-9.2,-1.8,6.73,0.09,32.89,1.71,1,1,70.00,30.30,1.08,0.62,20.0
393,92384123,28.6,28.65,28.69,6.00,-18.0,-17.4,-12.2,-2.4,5.38,0.09,32.56,2.24,1,1,70.00,30.33,1.48,0.76,19.9
394,92404130,28.9,28.95,28.85,6.21,-17.5,-16.9,-16.8,-3.3,7.30,0.13,32.99,2.43,1,1,70.00,30.37,1.88,0.54,20.0
395,92424126,28.9,28.94,28.98,6.14,-13.3,-12.8,-13.8,-2.7,5.83,0.13,32.83,2.98,1,1,70.00,30.42,2.28,0.69,19.9
396,92444135,29.1,29.14,29.10,6.05,-9.2,-8.6,-9.6,-1.9,6.62,0.04,33.15,3.18,1,1,70.00,30.47,2.68,0.49,20.0
397,92464130,29.1,29.14,29.22,6.01,-10.6,-10.0,-8.3,-1.6,5.26,0.04,33.04,3.74,1,1,70.00,30.53,3.08,0.65,20.0
398,92484136,29.4,29.42,29.37,6.12,-11.5,-10.9,-10.1,-2.0,7.07,0.08,33.27,3.93,1,1,70.00,30.60,3.48,0.44,20.0
399,92504133,29.4,29.42,29.49,6.08,-16.7,-16.1,-10.7,-2.1,5.57,0.08,33.25,4.50,1,1,70.00,30.68,3.88,0.61,20.0
HEIGHT_LOG_END
