time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
1.990138,13.560000,13.532033,11.990000,12.976749,13.420573,13.728386
2.016132,14.040000,13.878888,12.480000,12.326115,13.855206,14.589546
2.042136,14.110000,14.177149,12.220000,11.534383,14.154076,13.078719
2.068142,14.480000,14.438895,12.210000,10.910101,14.479185,12.715008
2.094141,14.970000,14.718255,12.330000,9.873425,14.868811,13.442548
2.120140,14.990000,14.952798,11.710000,8.728969,15.116079,11.708555
2.172142,15.430000,15.360513,11.470000,6.591322,15.617915,10.330588
2.198144,15.440000,15.514875,10.920000,5.384605,15.724105,8.385116
2.224134,15.640000,15.655644,10.800000,4.091089,15.860258,7.938922
2.250151,15.930000,15.746152,11.350000,3.185566,16.053817,8.381160
2.276153,15.740000,15.808264,10.410000,2.029830,16.087298,6.119948
2.302153,15.950000,15.853880,9.470000,0.840903,16.178709,5.668188
2.328156,15.970000,15.867296,8.410000,0.117618,16.231836,4.755214
2.354156,15.690000,15.848553,6.800000,-0.846889,16.141222,2.056429
2.380155,15.890000,15.820304,5.890000,-1.775833,16.145515,1.994275
2.406160,15.870000,15.768804,5.030000,-2.280917,16.128175,1.500877
2.432159,15.650000,15.687871,3.780000,-2.916036,16.018551,-0.240230
2.458160,15.750000,15.620039,3.010000,-3.499089,15.974210,-0.241323
2.484164,15.660000,15.536044,2.240000,-3.831515,15.900782,-0.771638
2.510166,15.270000,15.427302,0.990000,-4.104330,15.690971,-3.148015
2.536171,15.390000,15.332881,0.460000,-4.147201,15.591666,-2.773644
2.562172,15.200000,15.224791,-0.240000,-3.992050,15.446875,-3.367725
2.588175,15.000000,15.121072,-1.020000,-3.740024,15.268741,-4.226915
2.614172,15.090000,15.050658,-1.170000,-3.343959,15.183991,-3.321969
2.640174,14.980000,14.972442,-1.310000,-2.718603,15.085019,-3.145198
2.666172,14.680000,14.908475,-1.820000,-2.234966,14.902333,-4.202633
2.692171,14.890000,14.870692,-1.260000,-1.582344,14.866391,-2.597788
2.718175,14.810000,14.834754,-1.080000,-0.629238,14.815726,-2.063551
2.744183,14.610000,14.815072,-1.280000,0.025337,14.707607,-2.661757
2.770186,14.900000,14.831521,-0.730000,0.850709,14.753727,-0.684685
2.796186,14.780000,14.864026,-0.630000,1.837461,14.742275,-0.571801
2.822189,14.770000,14.914457,-0.500000,2.454698,14.734472,-0.430181
2.848191,15.070000,14.996934,0.350000,3.103666,14.850960,1.674826
2.874189,14.980000,15.080161,1.090000,3.885934,14.898926,1.699500
2.900191,15.190000,15.182642,1.730000,4.301250,15.017125,2.773912
2.926191,15.390000,15.300331,2.350000,4.747454,15.177462,4.028343
2.952191,15.280000,15.409517,2.420000,5.023385,15.243390,3.242068
