time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
2.302153,15.950000,15.853880,9.470000,0.840903,16.331149,8.710144
2.328156,15.970000,15.867296,8.410000,0.117618,16.402153,7.950631
2.354156,15.690000,15.848553,6.800000,-0.846889,16.357333,6.571419
2.380155,15.890000,15.820304,5.890000,-1.775833,16.368665,5.843275
2.406160,15.870000,15.768804,5.030000,-2.280917,16.358160,5.079846
2.432159,15.650000,15.687871,3.780000,-2.916036,16.272232,3.943671
2.458160,15.750000,15.620039,3.010000,-3.499089,16.224701,3.276865
2.484164,15.660000,15.536044,2.240000,-3.831515,16.151474,2.547478
2.510166,15.270000,15.427302,0.990000,-4.104330,15.970771,1.244339
2.536171,15.390000,15.332881,0.460000,-4.147201,15.860219,0.666047
2.562172,15.200000,15.224791,-0.240000,-3.992050,15.713223,-0.072103
2.588175,15.000000,15.121072,-1.020000,-3.740024,15.536553,-0.869985
2.614172,15.090000,15.050658,-1.170000,-3.343959,15.424492,-1.093847
2.640174,14.980000,14.972442,-1.310000,-2.718603,15.304211,-1.368710
2.666172,14.680000,14.908475,-1.820000,-2.234966,15.122549,-1.929147
2.692171,14.890000,14.870692,-1.260000,-1.582344,15.046663,-1.706322
2.718175,14.810000,14.834754,-1.080000,-0.629238,14.966936,-1.607991
2.744183,14.610000,14.815072,-1.280000,0.025337,14.849040,-1.809419
2.770186,14.900000,14.831521,-0.730000,0.850709,14.847267,-1.237501
2.796186,14.780000,14.864026,-0.630000,1.837461,14.813492,-1.047205
2.822189,14.770000,14.914457,-0.500000,2.454698,14.787457,-0.858882
2.848191,15.070000,14.996934,0.350000,3.103666,14.859437,0.016912
2.874189,14.980000,15.080161,1.090000,3.885934,14.892071,0.400742
2.900191,15.190000,15.182642,1.730000,4.301250,14.982365,1.056740
2.926191,15.390000,15.300331,2.350000,4.747454,15.113320,1.856007
2.952191,15.280000,15.409517,2.420000,5.023385,15.183151,2.040892
