time_s,height_cm,truth_height_cm,logged_vz,truth_vz,replay_z,replay_vz
1.540106,9.200000,9.102528,5.840000,2.067091,9.176661,4.668965
1.560100,9.200000,9.122508,5.750000,1.425409,9.243842,4.226843
1.580108,9.300000,9.159491,5.330000,0.875015,9.322638,4.233099
1.600105,9.300000,9.163664,5.670000,0.323189,9.370362,3.672682
1.620110,9.290000,9.180472,4.590000,-0.212910,9.393919,2.904589
1.640114,8.990000,9.156530,1.840000,-0.654255,9.288599,0.195786
1.660101,9.290000,9.155049,2.430000,-1.039660,9.332115,1.355507
1.680115,8.980000,9.133909,1.100000,-1.448019,9.235595,-0.503753
1.700114,9.170000,9.120700,1.450000,-1.513579,9.243090,0.228304
1.720117,8.960000,9.092790,0.340000,-1.484807,9.162408,-0.982489
1.740120,9.160000,9.056564,0.920000,-1.694558,9.184281,0.105089
1.760118,8.870000,9.031611,-0.410000,-1.438638,9.082605,-1.495939
1.780120,9.070000,8.991633,0.170000,-1.421854,9.091824,-0.470222
1.800123,8.890000,8.967325,-0.500000,-0.898073,9.025396,-1.273111
1.820123,9.100000,8.944154,0.330000,-0.667426,9.062093,0.055156
1.840125,8.810000,8.942314,-0.690000,-0.064600,8.971656,-1.431205
1.860124,9.010000,8.936573,0.100000,0.146669,8.989914,-0.375293
1.880127,8.820000,8.957546,-0.600000,0.648156,8.926896,-1.241441
1.900116,9.120000,8.977067,0.770000,0.873703,9.002009,0.764297
1.920131,8.910000,8.999377,0.640000,1.617580,8.969465,-0.024152
1.940130,9.110000,9.036599,1.470000,1.816699,9.026952,1.092851
1.960134,8.900000,9.082768,0.570000,2.587987,8.983065,-0.083985
1.980133,9.000000,9.135629,0.660000,2.865546,8.993759,0.253150
2.000137,9.300000,9.195990,2.370000,3.487120,9.117311,2.406578
2.020137,9.100000,9.264439,1.820000,3.592735,9.120312,1.486259
2.040137,9.510000,9.340043,3.480000,4.207904,9.282509,3.769862
2.060140,9.320000,9.414901,2.790000,4.207188,9.314462,2.764978
2.080142,9.640000,9.502086,3.860000,4.623791,9.460328,4.230310
2.100142,9.450000,9.593429,2.950000,4.476384,9.481285,2.878840
2.120141,9.860000,9.681319,4.370000,4.731152,9.654256,4.805302
2.140143,9.670000,9.769131,3.460000,4.512187,9.692027,3.525570
2.160146,9.980000,9.861186,4.280000,4.749280,9.836528,4.703494
2.180132,9.890000,9.950969,3.640000,4.303230,9.893995,3.877136
2.200150,10.200000,10.044267,4.910000,4.357053,10.050742,5.249149
2.220147,10.000000,10.128948,4.070000,3.902466,10.073841,3.655636
2.240150,10.310000,10.210172,4.760000,3.978419,10.208068,4.722747
2.260150,10.210000,10.279930,4.030000,3.929962,10.254193,3.771378
2.280154,10.510000,10.374112,4.850000,3.895793,10.398622,4.971046
2.300153,10.300000,10.441145,3.660000,3.991091,10.408272,3.288635
2.320157,10.700000,10.538592,5.050000,3.994678,10.567547,5.095631
2.340158,10.480000,10.605449,4.250000,4.002232,10.583491,3.553970
2.360158,10.770000,10.703681,4.880000,4.118533,10.704586,4.534020
2.380159,10.670000,10.770999,4.140000,4.261500,10.741625,3.588713
2.400160,10.970000,10.876132,5.120000,4.429000,10.879559,4.895882
2.420163,10.770000,10.951808,4.120000,4.581855,10.889034,3.344754
